,Administration,Lieu-dit,Type,Inutile
0,Allemagne,var geographie = [Aachen ,,
1,République du Congo,Abala,Subdivision ,
2,Bénin,Abananquem ,,
3,Algérie,Abbaziz ,,
4,Somme ; France,Abbeville ,,
5,Djibouti/Éthiopie,Abbé,Lac ,
6,Algérie,Abbo ,,
7,Algérie,Abdi ,,
8,Algérie,Abd El Beg ,,
9,Tchad,Abéché,Subdivision ,
10,Tchad,Abéché ,,
11,Côte d\'Ivoire,Abengourou ,,
12,Nigeria,Abeokuta ,,
13,Djibouti,Abhe Bad ,,
14,Côte d\'Ivoire,Abidjan/Agboville,Voie ferrée ,
15,Côte d\'Ivoire/Burkina Faso,Abidjan/Bobo Dioulasso,Voie ferrée ,
16,Côte d\'Ivoire,Abidjan/Bouaké,Voie ferrée ,
17,Côte d\'Ivoire,Abidjan/Gagnoa,Route ,
18,Côte d\'Ivoire/Burkina Faso,Abidjan/Niger,Voie ferrée ,
19,Côte d\'Ivoire/Burkina Faso,Abidjan/Ouagadougou,Voie ferrée ,
20,Côte d\'Ivoire,Abidjan/Port-Bouët,Voie ferrée ,
21,Côte d\'Ivoire,Abidjan ,,
22,Algérie,Abid ,,
23,Inde,Abishegapakkam ,,
24,Algérie,Abi Youcef ,,
25,Liban,Ablah ,,
26,Côte d\'Ivoire,Abobo ,,
27,Côte d\'Ivoire,Aboisso Comoé ,,
28,Côte d\'Ivoire,Aboisso,Cercle ,
29,Côte d\'Ivoire,Aboisso ,,
30,Bénin,Abomey-Calavi ,,
31,Bénin,Abomey/Zagnanado,Voie ferrée ,
32,Bénin,Abomey ,,
33,Bénin,Abomey,Cercle ,
34,Cameroun,Abong-M’Bang,Circonscription ,
35,Cameroun,Abong M\Bang ,,
36,Tchad,Aboudeïa,Subdivision ,
37,Algérie,Aboukir ,,
38,Algérie,Aboutville ,,
39,Algérie,Abou El Hassan ,,
40,Côte d\'Ivoire,Abréby ,,
41,"Saint-Domingue, Île de",Abricots ,,
42,Éthiopie,Abyssinie,Région géographique ,
43,Côte d\'Ivoire,Aby ,,
44,Côte d\'Ivoire,Aby,Lagune ,
45,Charente ; France,Abzac ,,
46,,Acadie,,
47,Mexique,Acapulco ,,
48,Guyane française,Acarouany,Cours d\eau ,
49,Guyane française,Acarouany ,,
50,Ghana,Accra ,,
51,"Sumatra, Île de",Aceh ,,
52,"Sumatra, Île de",Achem ,,
53,Moselle ; France,Achen ,,
54,Accra ; Ghana,Achimota,Quartier ,
55,Allemagne,Achkarren ,,
56,Algérie,Achouba ,,
57,,Açores,Archipel des,
58,"Saint-Domingue, Île de",Acul-du-Nord ,,
59,Djibouti,Adaïli Dora ,,
60,Djibouti,Adaïli ,,
61,Cameroun,Adamaoua,Circonscription ,
62,Éthiopie,Adama ,,
63,Niger,Adar,Région géographique ,
64,Algérie,Addarat,Cours d\eau ,
65,Éthiopie,Addis Abeba/Aouache,Voie ferrée ,
66,Éthiopie,Addis Abeba/Dire Daoua,Voie ferrée ,
67,Éthiopie/Djibouti,Addis Abeba/Djibouti,Voie ferrée ,
68,Éthiopie/Érythrée,Addis Abeba/Massaouah,Voie ferrée ,
69,Éthiopie,Addis Abeba ,,
70,Éthiopie/Djibouti,Addis Harrar/Djibouti,Voie ferrée ,
71,Algérie,Adekar Kebouche ,,
72,Moselle ; France,Adelange ,,
73,Haute-Saône ; France,Adelans-et-le-Val-de-Bithaine ,,
74,Haute-Saône ; France,Adelans ,,
75,Algérie,Adelia ,,
76,Yémen,Aden ,,
77,Niger,Aderbissinat ,,
78,Niger,Ader,Région géographique ,
79,Côte d\'Ivoire,Adessé ,,
80,Côte d\'Ivoire,Adfaé ,,
81,Côte d\'Ivoire,Adiaké ,,
82,Côte d\'Ivoire,Adioé ,,
83,Côte d\'Ivoire,Adiué ,,
84,Côte d\'Ivoire,Adjacouty ,,
85,Côte d\'Ivoire,Adjamé ,,
86,Bénin,Adjanté ,,
87,Bénin,Adjarra ,,
88,Algérie,Adjeroud ,,
89,Algérie,Adjiba ,,
90,Algérie,Adjioun ,,
91,Bénin,Adjohon ,,
92,Gabon,Adolina Longo ,,
93,Gabon,Adoumas,Circonscription ,
94,Algérie/Mali,Adrar des Ifoghas,Massif de l’ ,
95,Algérie/Mali,Adrar des Iforas,Massif de l’ ,
96,Mauritanie,Adrar mauritanien,Région géographique ,
97,Algérie,Adrar ,,
98,Mauritanie,Adrar,Cercle ,
99,Mauritanie,Adrar,Région géographique ,
100,Tchad,Adré,Subdivision ,
101,,Adriatique,Mer,
102,Côte d\'Ivoire,Adzopé ,,
103,Sahara occidental,Ad Dakhla ,,
104,Sénégal,Aéré ,,
105,Togo,Afagnan ,,
106,Togo,Afanyan Bléta ,,
107,Algérie,Afensou ,,
108,Algérie,Affreville ,,
109,,Afghanistan,,
110,Algérie,Afia,Cap ,
111,Algérie,Afir ,,
112,Ghana,Aflao ,,
113,Algérie,Aflou ,,
114,Algérie,Aflou,Annexe ,
115,Algérie,Aflou,Arrondissement ,
116,Algérie,Aflou,Commune mixte ,
117,,Afrique,,
118,,Afrique du Nord,Région géographique,
119,,Afrique équatoriale française,,
120,,Afrique occidentale britannique,,
121,,Afrique occidentale française,,
122,,Afrique subsaharienne,Région géographique,
123,,Afrique tropicale,Région géographique,
124,,Afrique,Colonies allemandes,
125,,Afrique,Colonies britanniques,
126,,Afrique,Colonies françaises,
127,,Afrique,Colonies italiennes,
128,,Afrique,Colonies portugaises,
129,,Afrique,Côtes occidentales,
130,,Afrique,Côte orientale,
131,Niger,Agadès ,,
132,Niger,Agadez ,,
133,Algérie,Agadie ,,
134,Maroc/Mali,Agadir/Tombouctou,Route ,
135,Maroc,Agadir ,,
136,Togo,Agbodrafo ,,
137,Togo,Agbonou/Blitta,Voie ferrée ,
138,Togo,Agbonou/Lomé,Voie ferrée ,
139,Togo,Agbonou ,,
140,Côte d\'Ivoire,Agboville ,,
141,Hérault ; France,Agde ,,
142,Aveyron ; France,Agen-d\Aveyron ,,
143,France,Agenais,Région géographique ,
144,Lot-et-Garonne ; France,Agen ,,
145,Algérie,Aghbal ,,
146,Algérie,Aghribs ,,
147,Côte d\'Ivoire,Agnéby,Cours d\eau ,
148,Côte d\'Ivoire,Agnibilékrou ,,
