,GPH_code,NAME_x,continent,wikidata,wikidata_alt1,wikidata_alt2,wikidata_alt3,notes,NAME_y,start_year,end_year,GPH_status,sovereign_GPH_code,SovereignGPH_code
0,530.0,Ethiopia (Abyssinia),Africa,http://www.wikidata.org/entity/Q115,,,,,Abyssinia,1898.0,1936.0,Sovereign,530.0,530.0
1,681.0,Aden,Asia,http://www.wikidata.org/entity/Q131694,,,,,Aden,1838.0,1962.0,Colony of,200.0,
2,700.0,Afghanistan,Asia,http://www.wikidata.org/entity/Q889,,,,,Afghanistan,1879.0,1919.0,Protectorate of,200.0,
3,339.0,Albania,Europe,http://www.wikidata.org/entity/Q222,,,,,Albania,1912.0,1939.0,Sovereign,339.0,339.0
4,232.0,Andorra,Europe,http://www.wikidata.org/entity/Q228,,,,,Andorra,1816.0,1993.0,Sovereign (unrecognized),232.0,232.0
5,625.0,North Sudan (Sudan) (Anglo-Egyptian),Africa,http://www.wikidata.org/entity/Q541455,http://www.wikidata.org/entity/Q1049,,,,Anglo-Egyptian Sudan,1898.0,1956.0,Colony of,200.0,
6,1062.0,Anguilla,America,http://www.wikidata.org/entity/Q25228,,,,,Anguilla,1882.0,1969.0,Part of,60.0,
7,,,,,,,,,Antarctica,,,,,
8,,,,,,,,,Egypt,,,Sovereign,,
9,,,,,,,,,German New Guinea,1884.0,1914.0,Colony of,255.0,
10,,,,,,,,,Guernsey,,,Part of,200.0,
11,,,,,,,,,Howland Island,,,Colony of,2.0,
12,,,,,,,,,Isle of Man,,,,,
13,,,,,,,,,Jersey,,,Part of,200.0,
14,,,,,,,,,Luxembourg,,,Sovereign,,
15,,,,,,,,,Nigeria,,,Colony of,200.0,
16,,,,,,,,,Rhodesia,,,Colony of,200.0,
17,670.0,Saudi Arabia (Emirate of Nejd),Asia,http://www.wikidata.org/entity/Q851,,,,,Arabia,1902.0,1927.0,Sovereign (unrecognized),670.0,670.0
18,160.0,Argentina,America,http://www.wikidata.org/entity/Q414,,,,,Argentina,1816.0,2020.0,Sovereign,160.0,160.0
19,1069.0,Aruba,America,http://www.wikidata.org/entity/Q21203,,,,,Aruba,1828.0,1986.0,Part of,68.0,
20,4070.0,Ascension I.,Africa,http://www.wikidata.org/entity/Q46197,,,,,Ascension Island,1816.0,1922.0,Possession of,200.0,
21,900.0,Australia,Oceania,http://www.wikidata.org/entity/Q408,,,,,Australia,1901.0,1919.0,Colony of,200.0,
22,300.0,Austria-Hungary,Europe,http://www.wikidata.org/entity/Q28513,,,,,Austria - Hungary ,1867.0,1918.0,Sovereign,300.0,300.0
23,400.0,Azores (Western Isles),Africa,http://www.wikidata.org/entity/Q25263,,,,,Azores,1831.0,1976.0,Part of,235.0,
24,31.0,Bahamas,America,http://www.wikidata.org/entity/Q778,,,,,Bahamas,1816.0,1973.0,Colony of,200.0,
25,9771.0,Baker I.,Oceania,http://www.wikidata.org/entity/Q46879,,,,,Baker Island,1886.0,1935.0,Claimed by,200.0,
26,53.0,Barbados,America,http://www.wikidata.org/entity/Q244,,,,,Barbados,1885.0,1958.0,Colony of,200.0,
27,571.0,Botswana (Bechuanaland),Africa,http://www.wikidata.org/entity/Q963,,,,,Bechuanaland,1885.0,1966.0,Protectorate of,200.0,
28,490.0,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State),Africa,http://www.wikidata.org/entity/Q974,,,,,Belgian Congo ,1908.0,1960.0,Colony of,211.0,
29,211.0,Belgium,Europe,http://www.wikidata.org/entity/Q31,,,,,Belgium,1830.0,1940.0,Sovereign,211.0,211.0
30,30.0,Bermuda,America,http://www.wikidata.org/entity/Q23635,,,,,Bermuda,1816.0,2020.0,Colony of,200.0,
31,760.0,Bhutan,Asia,http://www.wikidata.org/entity/Q917,,,,,Bhutan,1865.0,1949.0,Protectorate of,200.0,
32,145.0,Bolivia,America,http://www.wikidata.org/entity/Q750,,,,,Bolivia,1839.0,2020.0,Sovereign,145.0,145.0
33,1066.0,Bonaire,America,http://www.wikidata.org/entity/Q25396,,,,,Bonaire,1828.0,2010.0,Part of,68.0,
34,9993.0,Bouvet I.,Oceania,http://www.wikidata.org/entity/Q23408,,,,,Bouvet Island,1816.0,1927.0,Discovered,9993.0,9993.0
35,140.0,Brazil,America,http://www.wikidata.org/entity/Q155,,,,,Brazil,1822.0,2020.0,Sovereign,140.0,140.0
36,775.0,Myanmar (Burma),Asia,http://www.wikidata.org/entity/Q836,,,,,British Burma,1886.0,1937.0,Part of,750.0,
37,501.0,Kenya (British East Africa Protectorate),Africa,http://www.wikidata.org/entity/Q876185,http://www.wikidata.org/entity/Q114,,,,British East Africa,1895.0,1920.0,Protectorate of,200.0,
38,110.0,Guyana (Br. Guiana),America,http://www.wikidata.org/entity/Q734,,,,,British Guyana,1831.0,1966.0,Colony of,200.0,
39,80.0,Belize (British Honduras),America,http://www.wikidata.org/entity/Q242,,,,,British Honduras,1884.0,1981.0,Colony of,200.0,
40,821.0,Federated Malay States,Asia,http://www.wikidata.org/entity/Q1400154,,,,,British Malaya,1896.0,1942.0,Colony of,200.0,
41,521.0,Somaliland Republic (British Somaliland),Africa,http://www.wikidata.org/entity/Q34754,,,,,British Somaliland,1884.0,1940.0,Protectorate of,200.0,
42,5.0,Virgin Islands,America,http://www.wikidata.org/entity/Q11703,,,,,British Virgin Islands,1816.0,1917.0,Colony of,390.0,
43,5.0,Virgin Islands,America,http://www.wikidata.org/entity/Q11703,,,,,St. Thomas Island,1816.0,1917.0,Colony of,390.0,
44,5.0,Virgin Islands,America,http://www.wikidata.org/entity/Q11703,,,,,US Virgin Islands,1816.0,1917.0,Colony of,390.0,
45,355.0,Bulgaria,Europe,http://www.wikidata.org/entity/Q219,,,,,Bulgaria,1908.0,2020.0,Sovereign,355.0,355.0
46,402.0,Cape Verde,Africa,http://www.wikidata.org/entity/Q1011,,,,,Cabo Verde,1816.0,1975.0,Colony of,235.0,
47,470.0,Kamerun,Africa,http://www.wikidata.org/entity/Q668294,,,,,Cameroons,1884.0,1916.0,Colony of,255.0,
48,410.0,Canary Island,Africa,http://www.wikidata.org/entity/Q5813,,,,,Canary Island,1821.0,2020.0,Part of,230.0,
