,L_MatchDF_IREL,L_NotMatchDF_IREL
0,Algérie,Acores
1,Allemagne,Angleterre
2,Bizerte,Annam
3,Bordeaux,Asie
4,Brest,Buenos-Ayres
5,Bretagne,Caldwelle-Luc
6,Bruxelles,Calédonie
7,Casablanca,Cameroon
8,Cherbourg,Cap-Vert
9,Chine,Ching-Wan-Tao
10,Corse,Chitose
11,Crète,Châtel-Guyon
12,Cuba,Cochinchine
13,Côte d'Ivoire,Congo Français
14,Dakar,Copenhague
15,Djibouti,Danaïde
16,Fachoda,Diégo-Suarez
17,France,Gaulois
18,Gabon,Haut-Dahomey
19,Gibraltar,Havane
20,Grèce,Hiroshima
21,Inde,Indo-Chine
22,Japon,Islande
23,Lisbonne,Japonais
24,Liège,Madagascar
25,Loango,Mecque
26,Lorient,Moncay
27,Madrid,New-York
28,Manille,Nouvelle-Orléans
29,Maroc,Peyrelongue
30,Milan,Phlégéton
31,Nice,Ping S'Hiang
32,Nioro,Sasebo
33,Nord,Saïgon
34,Paris,Sidi-Abdallah
35,Port-Louis,Soudan Français
36,Port-Saïd,Terre
37,Portsmouth,Zanzibar
38,Pékin,île de Céram
39,Rochefort,île de Groix
40,Saint-Brieuc,île de Porquerolles
41,Saint-Mandrier,Mer Rouge
42,Saint-Pétersbourg,Océan Indien
43,Smyrne,Océan Pacifique
44,Soudan,Yen-Thé
45,Sumatra,casamance
46,Sénégal,cercle de Thiès
47,Tokyo,golfe de Siam
48,Tonkin,mer rouge
49,Toulon,océan Atlantique
50,Extrême-Orient,océan indien
51,Méditerranée,Afrique occidentale française
52,Abyssinie,Androy
53,Afrique,Anjouan
54,Algérie,Annam
55,Amérique,Annamite
56,Antilles,Annamites
57,Baoulé,Antsirane
58,Barbade,Bahr-el-Ghazal
59,Battambang,Bambaras
60,Bengale,Bras-de-Pontho
61,Bokoro,Bridgetown
62,Bruxelles,Calédonie
63,Cambodge,Choquan
64,Canton,Cochinchine
65,Cayenne,Congo français
66,Chandernagor,Croyances
67,Chine,Côte-d'Ivoire
68,Cholon,Dahomey
69,Conakry,Diégo-Suarez
70,Congo,Fouta-Djallon
71,Constantine,Grande-Comore
72,Corse,Guinée Française
73,Cuba,Guinée Française
74,Côte d'Ivoire,Hatien
75,Dakar,Haut-Dahomey
76,Djibouti,Haut-Laos
77,Dori,Haut-Oubangui
78,Europe,Haut-Sénégal
79,Grand-Bassam,Indo-Chine
80,Guadeloupe,Janeiro
81,Guinée,Lao-Kay
82,Guyane,Laokay
83,Guyane française,Madagascar
84,Hanoi,Majunga
85,Hanoi,Malgaches
86,Hué,Marquises
87,Inde,Mayotte
88,Japon,Mong-Tseu
89,Kampot,Mongtzeu
90,Kati,Mongtzé
91,Kayes,My-Tho
92,Labé,Nhatrang
93,Lagos,Nouvelle-Galles
94,Laos,Océanie
95,Liptako,Orizaba
96,Loango,Ouossou
97,Martinique,Pak-Hoi
98,Mauritanie,Pak-Hoi
99,Mexique,Pak-Hoi
100,Miquelon,Perse
101,Niger,Phu-Lang-Thuong
102,Nouméa,Ping-Shiang
103,Oubangui,Port
104,Philippines,Rio
105,Pondichéry,Samoa
106,Porto,Saïgon
107,Rufisque,Setchouen
108,Réunion,Somalis
109,Saigon,Soudan français
110,Saint-Louis,Surra
111,Saint-Philippe,Tahiti
112,Shanghai,Tamatave
113,Soudan,Tampico
114,Sénégal,Tananarive
115,Tagant,Thaï-Binh
116,Tchad,Tidjikdja
117,Chengdu,Yen-Bay
118,Chengdu,delta Tonkinois
119,Timbo,lac Tchad.
120,Togo,île
121,Tombouctou,île de Saint-Barthélémy
122,Tonkin,île de Saint-Martin
123,Vinh,île de la Réunion
124,Wallis,îles Saint-Pierre
125,Yunnan,Binh-Thuan
126,Yunnan,Yang-Tsé
127,Yunnan,6.91971116956954e-310
128,Yunnan,6.9197111695126e-310
129,Zinder,6.91971097682544e-310
130,Côte d'Ivoire,6.9197109768349e-310
131,Nouméa,6.9197111826192e-310
132,Ogooué,6.9197110098211e-310
