,GPH_code,QGIS_PlaceName,start_year,end_year,GPH_status,sovereign_GPH_code
0,2,United States of America,1816,2020,Sovereign,
2,3,Alaska,1867,1959,Colony of,2.0
5,4,Hawaii,1898,1960,Colony of,2.0
7,5,Virgin Islands,1816,1917,Colony of,390.0
11,6,Puerto Rico,1898,1952,Colony of,2.0
18,7,Texas,1865,2020,Part of,2.0
19,10,Greenland,1816,1953,Colony of,390.0
23,11,Faeroe Is.,1816,1947,Colony of,390.0
26,20,Canada (Province of Canada),1841,1920,Colony of,200.0
28,21,Newfoundland and Labrador (Newfoundland),1816,1949,Colony of,200.0
30,30,Bermuda,1816,2020,Colony of,200.0
31,31,Bahamas,1816,1973,Colony of,200.0
38,40,Cuba,1906,2020,Sovereign,
40,41,Haiti,1859,1915,Sovereign,
47,42,Dominican Republic (Santo Domingo),1865,1916,Sovereign,
52,51,Jamaica,1816,1958,Colony of,200.0
55,52,Trinidad and Tobago,1816,1958,Colony of,200.0
60,53,Barbados,1885,1958,Colony of,200.0
65,54,Dominica,1871,1940,Part of,1063.0
72,55,Grenada,1833,1958,Part of,1055.0
79,56,St. Lucia,1833,1958,Part of,1055.0
85,57,St. Vincent and the Grenadines,1833,1958,Part of,1055.0
91,58,Antigua & Barbuda,1833,1956,Part of,1063.0
98,59,Montserrat,1833,1956,Part of,1063.0
102,60,St. Kitts-Nevis,1882,1956,Part of,1063.0
109,65,Guadeloupe,1816,1947,Colony of,220.0
111,66,Martinique,1816,1947,Colony of,220.0
113,68,Netherlands Antilles,1828,1954,Colony of,210.0
116,70,Mexico,1821,2020,Sovereign,
121,80,Belize (British Honduras),1884,1981,Colony of,200.0
130,90,Guatemala,1839,2020,Sovereign,
134,91,Honduras,1838,2020,Sovereign,
138,92,El Salvador,1841,2020,Sovereign,
142,93,Nicaragua,1912,1925,Occupied by,2.0
144,93,Nicaragua,1838,2020,Sovereign,
148,94,Costa Rica,1838,2020,Sovereign,
152,95,Panama,1903,2020,Sovereign,
154,96,Panama Canal Zone,1903,1979,Leased to,2.0
158,100,Colombia (Gran Colombia),1831,2020,Sovereign,
161,101,Venezuela,1830,2020,Sovereign,
162,110,Guyana (Br. Guiana),1831,1966,Colony of,200.0
166,115,Surinam,1845,1954,Colony of,210.0
170,120,French Guyana,1817,1947,Colony of,220.0
174,130,Ecuador,1830,2020,Sovereign,
179,135,Peru,1839,2020,Sovereign,
182,140,Brazil,1822,2020,Sovereign,
187,145,Bolivia,1839,2020,Sovereign,
188,150,Paraguay,1816,2020,Sovereign,
191,155,Chile,1818,2020,Sovereign,
192,160,Argentina,1816,2020,Sovereign,
194,165,Uruguay,1828,2020,Sovereign,
195,200,United Kingdom,1816,2020,Sovereign,
196,205,Ireland,1816,1922,Part of,200.0
198,210,Netherlands,1816,1940,Sovereign,
202,211,Belgium,1830,1940,Sovereign,
212,220,France,1816,1942,Sovereign,
