,GPH_code,QGIS_PlaceName,start_year,end_year,GPH_status,sovereign_GPH_code
0,2.0,United States of America,1816,2020.0,Sovereign,
1,3.0,Alaska,1867,1959.0,Colony of,2.0
2,4.0,Hawaii,1898,1960.0,Colony of,2.0
3,5.0,Virgin Islands,1816,1917.0,Colony of,390.0
4,6.0,Puerto Rico,1898,1952.0,Colony of,2.0
5,7.0,Texas,1865,2020.0,Part of,2.0
6,10.0,Greenland,1816,1953.0,Colony of,390.0
7,11.0,Faeroe Is.,1816,1947.0,Colony of,390.0
8,20.0,Canada (Province of Canada),1841,1920.0,Colony of,200.0
9,21.0,Newfoundland and Labrador (Newfoundland),1816,1949.0,Colony of,200.0
10,30.0,Bermuda,1816,2020.0,Colony of,200.0
11,31.0,Bahamas,1816,1973.0,Colony of,200.0
12,40.0,Cuba,1906,2020.0,Sovereign,
13,41.0,Haiti,1859,1915.0,Sovereign,
14,42.0,Dominican Republic (Santo Domingo),1865,1916.0,Sovereign,
15,51.0,Jamaica,1816,1958.0,Colony of,200.0
16,52.0,Trinidad and Tobago,1816,1958.0,Colony of,200.0
17,53.0,Barbados,1885,1958.0,Colony of,200.0
18,54.0,Dominica,1871,1940.0,Part of,1063.0
19,55.0,Grenada,1833,1958.0,Part of,1055.0
20,56.0,St. Lucia,1833,1958.0,Part of,1055.0
21,57.0,St. Vincent and the Grenadines,1833,1958.0,Part of,1055.0
22,58.0,Antigua & Barbuda,1833,1956.0,Part of,1063.0
23,59.0,Montserrat,1833,1956.0,Part of,1063.0
24,60.0,St. Kitts-Nevis,1882,1956.0,Part of,1063.0
25,65.0,Guadeloupe,1816,1947.0,Colony of,220.0
26,66.0,Martinique,1816,1947.0,Colony of,220.0
27,68.0,Netherlands Antilles,1828,1954.0,Colony of,210.0
28,70.0,Mexico,1821,2020.0,Sovereign,
29,80.0,Belize (British Honduras),1884,1981.0,Colony of,200.0
30,90.0,Guatemala,1839,2020.0,Sovereign,
31,91.0,Honduras,1838,2020.0,Sovereign,
32,92.0,El Salvador,1841,2020.0,Sovereign,
33,93.0,Nicaragua,1912,1925.0,Occupied by,2.0
34,93.0,Nicaragua,1838,2020.0,Sovereign,
35,94.0,Costa Rica,1838,2020.0,Sovereign,
36,95.0,Panama,1903,2020.0,Sovereign,
37,96.0,Panama Canal Zone,1903,1979.0,Leased to,2.0
38,100.0,Colombia (Gran Colombia),1831,2020.0,Sovereign,
39,101.0,Venezuela,1830,2020.0,Sovereign,
40,110.0,Guyana (Br. Guiana),1831,1966.0,Colony of,200.0
41,115.0,Surinam,1845,1954.0,Colony of,210.0
42,120.0,French Guyana,1817,1947.0,Colony of,220.0
43,130.0,Ecuador,1830,2020.0,Sovereign,
44,135.0,Peru,1839,2020.0,Sovereign,
45,140.0,Brazil,1822,2020.0,Sovereign,
46,145.0,Bolivia,1839,2020.0,Sovereign,
47,150.0,Paraguay,1816,2020.0,Sovereign,
48,155.0,Chile,1818,2020.0,Sovereign,
49,160.0,Argentina,1816,2020.0,Sovereign,
50,165.0,Uruguay,1828,2020.0,Sovereign,
51,200.0,United Kingdom,1816,2020.0,Sovereign,
52,205.0,Ireland,1816,1922.0,Part of,200.0
53,210.0,Netherlands,1816,1940.0,Sovereign,
54,211.0,Belgium,1830,1940.0,Sovereign,
55,220.0,France,1816,1942.0,Sovereign,
56,221.0,Monaco,1861,1940.0,Sovereign (unrecognized),
57,223.0,Liechtenstein,1867,1990.0,Sovereign (unrecognized),
58,225.0,Switzerland,1816,2020.0,Sovereign,
59,230.0,Spain,1816,2020.0,Sovereign,
60,231.0,Gibraltar,1816,2020.0,Colony of,200.0
61,232.0,Andorra,1816,1993.0,Sovereign (unrecognized),
62,235.0,Portugal,1816,2020.0,Sovereign,
63,239.0,Prussia,1871,1947.0,Part of,255.0
64,244.0,Brunswick,1871,1945.0,Part of,255.0
65,245.0,Bavaria,1871,1945.0,Part of,255.0
66,246.0,Bremen,1867,1945.0,Part of,255.0
67,248.0,Hamburg,1867,1945.0,Part of,255.0
68,249.0,Saxony Anhalt (Anhalt),1867,1945.0,Part of,255.0
69,252.0,Lippe,1867,1945.0,Part of,255.0
70,253.0,Mecklenburg Strelitz,1867,1934.0,Part of,255.0
71,255.0,Germany,1871,1945.0,Sovereign,
72,256.0,Saar,1871,1920.0,Part of,255.0
73,257.0,Oldenburg,1867,1945.0,Part of,255.0
74,258.0,"Reuss, Older Line",1867,1945.0,Part of,255.0
75,259.0,"Reuss, Younger Line",1867,1945.0,Part of,255.0
76,261.0,Saxe Weimar,1867,1918.0,Part of,255.0
77,264.0,Saxe Coburg,1867,1920.0,Part of,255.0
78,266.0,Saxe Meiningen,1867,1918.0,Part of,255.0
79,267.0,Baden,1871,1945.0,Part of,255.0
80,268.0,Schwarzburg Sondershausen,1867,1918.0,Part of,255.0
81,269.0,Saxony,1867,1945.0,Part of,255.0
82,270.0,Schwarzburg Rudolstadt,1867,1918.0,Part of,255.0
83,271.0,Wuerttemberg,1871,1945.0,Part of,255.0
84,272.0,Waldeck,1867,1921.0,Part of,255.0
85,273.0,Hesse Electoral,1867,1945.0,Part of,239.0
86,274.0,Schaumburg Lippe,1867,1945.0,Part of,255.0
87,275.0,Hesse Grand Ducal,1867,1945.0,Part of,239.0
88,276.0,Lübeck,1867,1945.0,Part of,255.0
89,280.0,Mecklenburg Schwerin,1867,1934.0,Part of,255.0
90,290.0,Poland,1816,1918.0,Part of,365.0
91,290.0,Poland,1867,1918.0,Part of,300.0
92,290.0,Poland,1816,1918.0,Part of,239.0
93,291.0,Danzig,1816,1920.0,Part of,239.0
94,300.0,Austria-Hungary,1867,1918.0,Sovereign,
95,305.0,Austria,1867,1918.0,Part of,300.0
96,310.0,Hungary,1867,1918.0,Part of,300.0
97,316.0,Czech Republic,1867,1918.0,Part of,300.0
98,317.0,Slovakia,1867,1918.0,Part of,300.0
99,325.0,Italy,1861,2020.0,Sovereign,
100,326.0,Trieste,1867,1918.0,Part of,300.0
101,328.0,Vatican City,1870,1929.0,Part of,325.0
102,331.0,San Marino,1816,1992.0,Sovereign (unrecognized),
103,338.0,Malta,1816,1964.0,Colony of,200.0
104,339.0,Albania,1912,1939.0,Sovereign,
105,341.0,Montenegro,1878,1915.0,Sovereign (unrecognized),
106,342.0,Serbia,1878,1918.0,Sovereign,
107,343.0,"Macedonia, Former Yugoslav Republic of",1912,1993.0,Part of,345.0
