,L_MatchDF_IREL,L_NotMatchDF_IREL
0,Algérie,Acores
1,Allemagne,Angleterre
2,Bordeaux,Annam
3,Brest,Asie
4,Bretagne,Buenos-Ayres
5,Bruxelles,Caldwelle-Luc
6,Casablanca,Calédonie
7,Cherbourg,Cameroon
8,Chine,Cap-Vert
9,Corse,Ching-Wan-Tao
10,Crète,Chitose
11,Côte d'Ivoire,Châtel-Guyon
12,Dakar,Cochinchine
13,Djibouti,Congo Français
14,Fachoda,Copenhague
15,Grèce,Danaïde
16,Inde,Diégo-Suarez
17,Japon,Gaulois
18,Lisbonne,Haut-Dahomey
19,Liège,Havane
20,Lorient,Hiroshima
21,Madrid,Indo-Chine
22,Manille,Islande
23,Maroc,Japonais
24,Nice,Madagascar
25,Nioro,Mecque
26,Nord,Moncay
27,Paris,New-York
28,Port-Louis,Nouvelle-Orléans
29,Port-Saïd,Peyrelongue
30,Portsmouth,Phlégéton
31,Pékin,Ping S'Hiang
32,Rochefort,Sasebo
33,Saint-Brieuc,Saïgon
34,Saint-Mandrier,Sidi-Abdallah
35,Saint-Pétersbourg,Soudan Français
36,Smyrne,Terre
37,Soudan,île de Céram
38,Sumatra,île de Groix
39,Sénégal,île de Porquerolles
40,Tokyo,Mer Rouge
41,Toulon,Océan Indien
42,Extrême-Orient,Océan Pacifique
43,Méditerranée,Yen-Thé
44,Nouméa,casamance
45,Ogooué,cercle de Thiès
46,Abyssinie,golfe de Siam
47,Afrique,mer rouge
48,Amérique,océan Atlantique
49,Antilles,océan indien
50,Baoulé,Binh-Thuan
51,Barbade,Yang-Tsé
52,Battambang,Afrique occidentale française
53,Bengale,Androy
54,Bokoro,Antsirane
55,Cambodge,Bahr-el-Ghazal
56,Canton,Bambaras
57,Cayenne,Bras-de-Pontho
58,Chandernagor,Bridgetown
59,Cholon,Choquan
60,Conakry,Congo français
61,Congo,Croyances
62,Constantine,Côte-d'Ivoire
63,Dori,Dahomey
64,Europe,Fouta-Djallon
65,Grand-Bassam,Grande-Comore
66,Guinée,Guinée Française
67,Guyane,Hatien
68,Guyane française,Haut-Laos
69,Hanoi,Haut-Oubangui
70,Hué,Haut-Sénégal
71,Kampot,Janeiro
72,Kati,Lao-Kay
73,Kayes,Laokay
74,Labé,Majunga
75,Liptako,Malgaches
76,Mauritanie,Marquises
77,Mexique,Mong-Tseu
78,Miquelon,Mongtzeu
79,Oubangui,Mongtzé
80,Pondichéry,My-Tho
81,Porto,Nhatrang
82,Rufisque,Nouvelle-Galles
83,Réunion,Océanie
84,Saigon,Orizaba
85,Saint-Louis,Ouossou
86,Saint-Philippe,Pak-Hoi
87,Shanghai,Perse
88,Tchad,Phu-Lang-Thuong
89,Chengdu,Ping-Shiang
90,Timbo,Port
91,Togo,Rio
92,Tombouctou,Setchouen
93,Vinh,Somalis
94,Wallis,Soudan français
95,6.9514882735463e-310,Surra
96,6.95148826413456e-310,Tamatave
97,6.95148826414246e-310,Tampico
98,6.95148829141805e-310,Tananarive
99,6.9514880602056e-310,Thaï-Binh
100,6.95148805859455e-310,Tidjikdja
101,6.9514880813548e-310,Yen-Bay
102,6.9514881102857e-310,delta Tonkinois
103,6.95148811098053e-310,lac Tchad.
104,6.9514880007209e-310,île de Saint-Barthélémy
105,6.9514879805077e-310,île de Saint-Martin
106,6.95148798051163e-310,île de la Réunion
107,6.95148798247603e-310,îles Saint-Pierre
