,Q_code,latitude,longitude
0,Q241,22.0,-79.5
1,Q17012,16.25,-61.583333333333
2,Q17054,14.666666666667,-61.0
3,Q142,47.0,2.0
4,Q1410,36.13775,-5.3453611111111
5,Q1032,17.0,10.0
6,Q1000,-0.68333055555556,11.5
7,Q1774,-6.1333333333333,39.316666666667
8,Q819,18.2,104.0
9,Q928,12.0,123.0
10,Q490,45.466944444444,9.19
11,Q843903,18.7,-10.2
12,Q204365,13.8,8.9833333333333
13,Q8673,6.45,3.4
14,Q1479630,-4.7106,11.8378
15,Q17063,-12.843055555556,45.138333333333
16,Q231324,-12.215,44.425
17,Q189546,37.274444444444,9.8738888888889
18,Q43194,24.5,101.5
19,Q10828323,,
20,Q1858,21.0245,105.84117
21,Q42000,-17.666666666667,-149.46666666667
22,Q683,-14.0,-172.0
