Q_code,latitude,longitude
Q241,22,-79.5
Q17012,16.25,-61.583333333333
Q17054,14.666666666667,-61
Q142,47,2
Q1410,36.13775,-5.3453611111111
Q1032,17,10
Q1000,-0.68333055555556,11.5
Q1774,-6.1333333333333,39.316666666667
Q819,18.2,104
Q928,12,123
Q490,45.466944444444,9.19
Q843903,18.7,-10.2
Q204365,13.8,8.9833333333333
Q8673,6.45,3.4
Q1479630,-4.7106,11.8378
Q17063,-12.843055555556,45.138333333333
Q231324,-12.215,44.425
Q189546,37.274444444444,9.8738888888889
Q43194,24.5,101.5
Q10828323,0,0
Q1858,21.0245,105.84117
Q42000,-17.666666666667,-149.46666666667
Q683,-14,-172
