,NAME,Q_code,latitude_GPH,longitude_GPH,IREL_url,latitude_IREL,longitude_IREL
0,Annam,Q10828323,,,,,
1,Bizerte,Q189546,37.274444444444,9.8738888888889,,,
2,Cuba,Q241,22.0,-79.5,,,
3,France,Q142,47.0,2.0,,,
4,Gabon,Q1000,-0.68333055555556,11.5,,,
5,Gibraltar,Q1410,36.13775,-5.3453611111111,,,
6,Loango,Q1479630,-4.7106,11.8378,,,
7,Milan,Q490,45.466944444444,9.19,,,
8,Tonkin,Q1858,21.0245,105.84117,,,
9,Zanzibar,Q1774,-6.1333333333333,39.316666666667,,,
10,Anjouan,Q231324,-12.215,44.425,,,
11,Guadeloupe,Q17012,16.25,-61.583333333333,,,
12,Lagos,Q8673,6.45,3.4,,,
13,Laos,Q819,18.2,104.0,,,
14,Martinique,Q17054,14.666666666667,-61.0,,,
15,Mayotte,Q17063,-12.843055555556,45.138333333333,,,
16,Niger,Q1032,17.0,10.0,,,
17,Philippines,Q928,12.0,123.0,,,
18,Samoa,Q683,-14.0,-172.0,,,
19,Tagant,Q843903,18.7,-10.2,,,
20,Tahiti,Q42000,-17.666666666667,-149.46666666667,,,
21,Yunnan,Q43194,24.5,101.5,,,
22,Zinder,Q204365,13.8,8.9833333333333,,,
23,,,,,httpNone,,
24,,,,,httpNone,,
25,,,,,httpNone,,
26,,,,,httpNone,,
27,,,,,httpNone,,
28,,,,,httpNone,,
29,,,,,httpNone,,
30,,,,,httpNone,,
31,,,,,httpNone,,
32,,,,,httpNone,,
33,,,,,httpNone,,
34,,,,,httpNone,,
35,,,,,httpNone,,
36,,,,,httpNone,,
37,,,,,httpNone,,
38,,,,,httpNone,,
39,,,,,httpNone,,
40,,,,,httpNone,,
41,,,,,httpNone,,
42,,,,,httpNone,,
43,,,,,httpNone,,
44,,,,,httpNone,,
45,,,,,httpNone,,
46,,,,,httpNone,,
47,,,,,httpNone,,
48,Afrique du Nord,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Afrique%20du%20NordR%C3%A9gion%20g%C3%A9ographique,,
49,Afrique du Nord,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Afrique%20du%20NordR%C3%A9gion%20g%C3%A9ographique,,
50,Abbo ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abbo%20%28Alg%C3%A9rie%29,36.8558,3.8567
51,Achkarren ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Achkarren%20%28Allemagne%29,48.0675,7.6252
52,Amérique centrale',,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Am%C3%A9rique%20centrale,,
53,Anguille,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Anguille%C3%8Ele%20%28Antilles%29,,
54,Baoulé,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Baoul%C3%A9Cours%20d%5Ceau%20%28C%C3%B4te%20d%5CIvoire/Mali%29,,
55,Battambang/Phnom Penh,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Battambang/Phnom%20PenhVoie%20ferr%C3%A9e%20%28Cambodge%29,,
56,Bordeaux ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bordeaux%20%28Gironde%20%3B%20France%29,44.8333,-0.5667
57,Esboz-Brest ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Esboz-Brest%20%28Haute-Sa%C3%B4ne%20%3B%20France%29,47.8069,6.4528
58,Bretagne,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bretagne%C3%89tang%20de%20%28Saint-Martin%C3%AEle%29,,
59,Angkor,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=AngkorProvince%20%28Cambodge%29,,
60,Poulo Canton,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Poulo%20Canton%C3%8Ele%20%28Vietnam%29,,
61,Casablanca ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Casablanca%20%28Maroc%29,33.5739,-7.6013
62,Cayenne/Inini,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Cayenne/IniniVoie%20ferr%C3%A9e%20%28Guyane%20fran%C3%A7aise%29,,
63,Gondolpara,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=GondolparaQuartier%20%28Chandernagor%20%3B%20Inde%29,,
64,Ami Tcheou ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Ami%20Tcheou%20%28Chine%29,23.7140,103.2682
65,Conakry/Kankan,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Conakry/KankanVoie%20ferr%C3%A9e%20%28Guin%C3%A9e%29,,
66,Aïna,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFnaCours%20d%5Ceau%20%28Gabon/R%C3%A9publique%20du%20Congo%29,,
67,Aïn Sultan ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Sultan%20%28Constantine%20%3B%20Alg%C3%A9rie%29,36.1333,4.7333
68,Aregno ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Aregno%20%28Haute-Corse%20%3B%20France%29,42.5818,8.8952
