GPH_code,NAME,Q_code,latitude,longitude
40,Cuba,Q241,22.0,-79.5
65,Guadeloupe,Q17012,16.25,-61.583333333332995
66,Martinique,Q17054,14.666666666666998,-61.0
220,France,Q142,47.0,2.0
231,Gibraltar,Q1410,36.13775,-5.3453611111110995
436,Niger,Q1032,17.0,10.0
481,Gabon,Q1000,-0.68333055555556,11.5
511,Zanzibar,Q1774,-6.1333333333333,39.316666666667
812,Laos,Q819,18.2,104.0
840,Philippines,Q928,12.0,123.0
9900,Samoa,Q683,-14.0,-172.0
9900,Samoa,Q683,-14.0,-172.0
3253,Milan,Q490,45.466944444443996,9.19
4353,Tagant,Q843903,18.7,-10.2
4362,Zinder,Q204365,13.8,8.9833333333333
4781,Lagos,Q8673,6.45,3.4
4842,Loango,Q1479630,-4.7106,11.8378
5812,Mayotte,Q17063,-12.843055555555999,45.138333333332994
5813,Anjouan,Q231324,-12.215,44.425
6161,Bizerte,Q189546,37.274444444444,9.873888888888901
7109,Yunnan,Q43194,24.5,101.5
8152,Annam,Q10828323,0.0,0.0
8153,Tonkin,Q1858,21.0245,105.84116999999999
9606,Tahiti,Q42000,-17.666666666667,-149.46666666667
