GPH_code,NAME,start_year,end_year,GPH_status,sovereign_GPH_code,SovereignGPH_code
530.0,Abyssinia,1898.0,1936.0,Sovereign,530.0,530.0
681.0,Aden,1838.0,1962.0,Colony of,200.0,
700.0,Afghanistan,1879.0,1919.0,Protectorate of,200.0,
339.0,Albania,1912.0,1939.0,Sovereign,339.0,339.0
232.0,Andorra,1816.0,1993.0,Sovereign (unrecognized),232.0,232.0
625.0,Anglo-Egyptian Sudan,1898.0,1956.0,Colony of,200.0,
1062.0,Anguilla,1882.0,1969.0,Part of,60.0,
,Antarctica,,,,,
670.0,Arabia,1902.0,1927.0,Sovereign (unrecognized),670.0,670.0
160.0,Argentina,1816.0,2020.0,Sovereign,160.0,160.0
1069.0,Aruba,1828.0,1986.0,Part of,68.0,
4070.0,Ascension Island,1816.0,1922.0,Possession of,200.0,
900.0,Australia,1901.0,1919.0,Colony of,200.0,
300.0,Austria - Hungary ,1867.0,1918.0,Sovereign,300.0,300.0
400.0,Azores,1831.0,1976.0,Part of,235.0,
31.0,Bahamas,1816.0,1973.0,Colony of,200.0,
9771.0,Baker Island,1886.0,1935.0,Claimed by,200.0,
53.0,Barbados,1885.0,1958.0,Colony of,200.0,
571.0,Bechuanaland,1885.0,1966.0,Protectorate of,200.0,
490.0,Belgian Congo ,1908.0,1960.0,Colony of,211.0,
211.0,Belgium,1830.0,1940.0,Sovereign,211.0,211.0
30.0,Bermuda,1816.0,2020.0,Colony of,200.0,
760.0,Bhutan,1865.0,1949.0,Protectorate of,200.0,
145.0,Bolivia,1839.0,2020.0,Sovereign,145.0,145.0
1066.0,Bonaire,1828.0,2010.0,Part of,68.0,
9993.0,Bouvet Island,1816.0,1927.0,Discovered,9993.0,9993.0
140.0,Brazil,1822.0,2020.0,Sovereign,140.0,140.0
775.0,British Burma,1886.0,1937.0,Part of,750.0,
501.0,British East Africa,1895.0,1920.0,Protectorate of,200.0,
110.0,British Guyana,1831.0,1966.0,Colony of,200.0,
80.0,British Honduras,1884.0,1981.0,Colony of,200.0,
821.0,British Malaya,1896.0,1942.0,Colony of,200.0,
521.0,British Somaliland,1884.0,1940.0,Protectorate of,200.0,
5.0,British Virgin Islands,1816.0,1917.0,Colony of,390.0,
355.0,Bulgaria,1908.0,2020.0,Sovereign,355.0,355.0
402.0,Cabo Verde,1816.0,1975.0,Colony of,235.0,
470.0,Cameroons,1884.0,1916.0,Colony of,255.0,
410.0,Canary Island,1821.0,2020.0,Part of,230.0,
9466.0,Caroline Islands,1868.0,1979.0,Claimed by,200.0,
1033.0,Cayman Islands,1816.0,1962.0,Part of,51.0,
780.0,Ceylon,1833.0,1948.0,Colony of,200.0,
5920.0,Chagos Islands,1816.0,1965.0,Part of,590.0,
155.0,Chile,1818.0,2020.0,Sovereign,155.0,155.0
710.0,China,1860.0,2020.0,Sovereign,710.0,710.0
730.0,Chosen (Korea),1910.0,1945.0,Colony of,740.0,
9001.0,Christmas Island,1889.0,1942.0,Part of,827.0,
9002.0,Cocos Islands,1882.0,1942.0,Part of,9002.0,9002.0
100.0,Colombia,1831.0,2020.0,Sovereign,100.0,100.0
581.0,Comoros,1912.0,1946.0,Part of,580.0,
925.0,Cook Islands,1901.0,1965.0,Colony of,920.0,
94.0,Costa Rica,1838.0,2020.0,Sovereign,94.0,94.0
40.0,Cuba,1906.0,2020.0,Sovereign,40.0,40.0
1065.0,Curacao,1828.0,2010.0,Part of,68.0,
3521.0,Cyprus,1878.0,1974.0,Part of,352.0,
390.0,Denmark,1816.0,1940.0,Sovereign,390.0,390.0
54.0,Dominica,1871.0,1940.0,Part of,1063.0,
42.0,Dominican Republic,1865.0,1916.0,Sovereign,42.0,42.0
