,GPH_code,QGIS_PlaceName,start_year,end_year,GPH_status,sovereign_GPH_code
0,6,Puerto Rico,1898,1952,Colony of,2.0
1,10,Greenland,1816,1953,Colony of,390.0
2,30,Bermuda,1816,2020,Colony of,200.0
3,31,Bahamas,1816,1973,Colony of,200.0
4,40,Cuba,1906,2020,Sovereign,
5,41,Haiti,1859,1915,Sovereign,
6,51,Jamaica,1816,1958,Colony of,200.0
7,53,Barbados,1885,1958,Colony of,200.0
8,54,Dominica,1871,1940,Part of,1063.0
9,55,Grenada,1833,1958,Part of,1055.0
10,65,Guadeloupe,1816,1947,Colony of,220.0
11,66,Martinique,1816,1947,Colony of,220.0
12,70,Mexico,1821,2020,Sovereign,
13,90,Guatemala,1839,2020,Sovereign,
14,91,Honduras,1838,2020,Sovereign,
15,92,El Salvador,1841,2020,Sovereign,
16,93,Nicaragua,1912,1925,Occupied by,2.0
17,93,Nicaragua,1838,2020,Sovereign,
18,94,Costa Rica,1838,2020,Sovereign,
19,95,Panama,1903,2020,Sovereign,
20,101,Venezuela,1830,2020,Sovereign,
21,130,Ecuador,1830,2020,Sovereign,
22,135,Peru,1839,2020,Sovereign,
23,140,Brazil,1822,2020,Sovereign,
24,145,Bolivia,1839,2020,Sovereign,
25,150,Paraguay,1816,2020,Sovereign,
26,155,Chile,1818,2020,Sovereign,
27,160,Argentina,1816,2020,Sovereign,
28,165,Uruguay,1828,2020,Sovereign,
29,200,United Kingdom,1816,2020,Sovereign,
30,205,Ireland,1816,1922,Part of,200.0
31,210,Netherlands,1816,1940,Sovereign,
32,211,Belgium,1830,1940,Sovereign,
33,220,France,1816,1942,Sovereign,
34,221,Monaco,1861,1940,Sovereign (unrecognized),
35,223,Liechtenstein,1867,1990,Sovereign (unrecognized),
36,225,Switzerland,1816,2020,Sovereign,
37,230,Spain,1816,2020,Sovereign,
38,231,Gibraltar,1816,2020,Colony of,200.0
39,232,Andorra,1816,1993,Sovereign (unrecognized),
40,235,Portugal,1816,2020,Sovereign,
41,255,Germany,1871,1945,Sovereign,
42,325,Italy,1861,2020,Sovereign,
43,331,San Marino,1816,1992,Sovereign (unrecognized),
44,338,Malta,1816,1964,Colony of,200.0
45,339,Albania,1912,1939,Sovereign,
46,341,Montenegro,1878,1915,Sovereign (unrecognized),
47,342,Serbia,1878,1918,Sovereign,
48,350,Greece,1830,1941,Sovereign,
49,355,Bulgaria,1908,2020,Sovereign,
50,375,Finland,1816,1917,Part of,365.0
51,380,Sweden,1816,2020,Sovereign,
52,385,Norway,1905,1940,Sovereign,
53,390,Denmark,1816,1940,Sovereign,
54,395,Iceland,1816,1918,Colony of,390.0
55,412,Rio Muni,1816,1960,Part of,411.0
56,433,Senegal,1895,1958,Part of,430.0
57,450,Liberia,1847,1920,Sovereign (unrecognized),
58,451,Sierra Leone,1816,1961,Colony of,200.0
59,451,Sierra Leone,1896,1961,Protectorate of,200.0
60,500,Uganda,1894,1962,Protectorate of,200.0
61,531,Eritrea,1882,1936,Colony of,325.0
62,581,Comoros,1912,1946,Part of,580.0
63,590,Mauritius,1816,1968,Colony of,200.0
64,591,Seychelles,1903,1976,Colony of,200.0
65,600,Morocco,1912,1956,Protectorate of,220.0
66,681,Aden,1838,1962,Colony of,200.0
67,700,Afghanistan,1879,1919,Protectorate of,200.0
68,720,Hong Kong,1841,1942,Colony of,200.0
69,721,Macao,1816,1999,Colony of,235.0
70,740,Japan,1860,1945,Sovereign,
71,750,India,1816,1947,Colony of,200.0
72,760,Bhutan,1865,1949,Protectorate of,200.0
73,790,Nepal,1816,1923,Protectorate of,200.0
74,830,Singapore,1826,1946,Part of,827.0
75,840,Philippines,1898,1942,Colony of,2.0
76,900,Australia,1901,1919,Colony of,200.0
77,920,New Zealand,1840,1920,Colony of,200.0
78,950,Fiji,1874,1970,Colony of,200.0
79,985,Guam,1898,1941,Colony of,2.0
80,1062,Anguilla,1882,1969,Part of,60.0
81,1065,Curacao,1828,2010,Part of,68.0
82,1066,Bonaire,1828,2010,Part of,68.0
83,1067,Saba,1828,2010,Part of,1074.0
84,1069,Aruba,1828,1986,Part of,68.0
85,5200,Italian Somaliland,1905,1936,Colony of,325.0
86,5812,Mayotte,1886,1975,Part of,581.0
