,Administration,NAME,Type,titre,titre_encoded,IREL_url,Coordonnees,latitude,longitude,Administration_bis,Lieu-dit_bis,placeName
3,Algérie,Abbaziz ,,Abbaziz (Algérie),Abbaziz%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abbaziz%20%28Alg%C3%A9rie%29,34.6167 2.8000,34.6167,2.8000,,,Algérie
6,Algérie,Abbo ,,Abbo (Algérie),Abbo%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abbo%20%28Alg%C3%A9rie%29,36.8558 3.8567,36.8558,3.8567,,,Algérie
7,Algérie,Abdi ,,Abdi (Algérie),Abdi%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abdi%20%28Alg%C3%A9rie%29,36.2661 7.3967,36.2661,7.3967,,,Algérie
8,Algérie,Abd El Beg ,,Abd El Beg (Algérie),Abd%20El%20Beg%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abd%20El%20Beg%20%28Alg%C3%A9rie%29,36.1714 5.2356,36.1714,5.2356,,,Algérie
22,Algérie,Abid ,,Abid (Algérie),Abid%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abid%20%28Alg%C3%A9rie%29,36.5435 3.8679,36.5435,3.8679,,,Algérie
24,Algérie,Abi Youcef ,,Abi Youcef (Algérie),Abi%20Youcef%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abi%20Youcef%20%28Alg%C3%A9rie%29,36.5390 4.3420,36.5390,4.3420,,,Algérie
37,Algérie,Aboukir ,,Aboukir (Algérie),Aboukir%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Aboukir%20%28Alg%C3%A9rie%29,35.8380 0.1684,35.8380,0.1684,,,Algérie
38,Algérie,Aboutville ,,Aboutville (Algérie),Aboutville%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Aboutville%20%28Alg%C3%A9rie%29,36.3395 3.8077,36.3395,3.8077,,,Algérie
39,Algérie,Abou El Hassan ,,Abou El Hassan (Algérie),Abou%20El%20Hassan%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abou%20El%20Hassan%20%28Alg%C3%A9rie%29,36.4166 1.1962,36.4166,1.1962,,,Algérie
56,Algérie,Achouba ,,Achouba (Algérie),Achouba%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Achouba%20%28Alg%C3%A9rie%29,36.8511 4.3804,36.8511,4.3804,,,Algérie
64,Algérie,Addarat,Cours d\'eau ,AddaratCours d\eau (Algérie),AddaratCours%20d%5Ceau%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=AddaratCours%20d%5Ceau%20%28Alg%C3%A9rie%29,,,,,,Algérie
71,Algérie,Adekar Kebouche ,,Adekar Kebouche (Algérie),Adekar%20Kebouche%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Adekar%20Kebouche%20%28Alg%C3%A9rie%29,36.6931 4.6715,36.6931,4.6715,,,Algérie
75,Algérie,Adelia ,,Adelia (Algérie),Adelia%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Adelia%20%28Alg%C3%A9rie%29,36.2795 2.2664,36.2795,2.2664,,,Algérie
88,Algérie,Adjeroud ,,Adjeroud (Algérie),Adjeroud%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Adjeroud%20%28Alg%C3%A9rie%29,35.0658 -2.1950,35.0658,-2.1950,,,Algérie
89,Algérie,Adjiba ,,Adjiba (Algérie),Adjiba%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Adjiba%20%28Alg%C3%A9rie%29,36.3761 4.1612,36.3761,4.1612,,,Algérie
90,Algérie,Adjioun ,,Adjioun (Algérie),Adjioun%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Adjioun%20%28Alg%C3%A9rie%29,36.4663 5.2106,36.4663,5.2106,,,Algérie
94,Algérie,Adrar des Ifoghas,Massif de l’ ,Adrar des IfoghasMassif de l’ (Algérie/Mali),Adrar%20des%20IfoghasMassif%20de%20l%E2%80%99%20%28Alg%C3%A9rie/Mali%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Adrar%20des%20IfoghasMassif%20de%20l%E2%80%99%20%28Alg%C3%A9rie/Mali%29,,,,Mali,,Algérie
95,Algérie,Adrar des Iforas,Massif de l’ ,Adrar des IforasMassif de l’ (Algérie/Mali),Adrar%20des%20IforasMassif%20de%20l%E2%80%99%20%28Alg%C3%A9rie/Mali%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Adrar%20des%20IforasMassif%20de%20l%E2%80%99%20%28Alg%C3%A9rie/Mali%29,,,,Mali,,Algérie
97,Algérie,Adrar ,,Adrar (Algérie),Adrar%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Adrar%20%28Alg%C3%A9rie%29,27.8667 -0.2833,27.8667,-0.2833,,,Algérie
