article_titre,revue_annee,GPE_ents,LOC_ents,ORG_ents,PATH_ents,SHS_ents,CHEM-LABO_ents
Contribution à la géographie médicale. Notes sur le paludisme observé à Dakar (Sénégal).,1898,"Dakar,Sénégal",,,paludisme,géographie médicale,
Notes sur la mortalité des troupes d'infanterie et d'artillerie de marine casernées en Cochinchine (1890 à 1896).,1898,Cochinchine,,,,,
Sur le mécanisme de l'immunisation contre les venins.,1898,,,,,,
Note succinte sur l’état sanitaire de nos colonies,1898,,,,,,
Clinique d'Outre-Mer. Contribution à l'étude de la toxicologie. Troubles que peut provoquer l'iodure de potassium. Observation faite à l'hôpital colonial de My-Tho (Cochinchine).,1898,"My-Tho,Cochinchine",,hôpital colonial,,,
Clinique d'Outre-Mer. Rapport sur les conditions dans lesquelles se trouvent actuellement les lépreux en Nouvelle-Calédonie.,1898,Nouvelle-Calédonie,,,lépreux,,
Variétés. Médecins annamites. Organisation du service médical indigène en Annam.,1898,Annam,,,,,
Contribution à la géographie médicale. Missions de vaccine au Cambodge.,1898,Cambodge,,,vaccine,géographie médicale,
Considérations générales sur la morbidité et la mortalité de l'année 1897. Aperçu démographique de la Martinique. ,1898,Martinique,,,,,
"Cas de disproportion physiologique considérable du corps d'un foetus avec celui de sa mère. Naine de race hindoue mesurant seulement 1m,10 de taille.",1898,,,,,race,
Variétés. De quelques coutumes des indigènes des Samoa et de Wallis qui tendent à disparaître,1898,"Samoa,Wallis",,,,indigènes,
Contribution à la géographie médicale. Mission du Baoulé.,1898,Baoulé,,,,géographie médicale,
Rapport sur les cas de pestes traités dans l'Inde anglaise au moyen du sérum antipesteux préparé à l'Institut Pasteur de Paris,1898,Inde anglaise,,Institut Pasteur de Paris,pestes,,
Morbidité et mortalité du personnel militaire de la Guadeloupe pendant l'année 1897.,1898,Guadeloupe,,,,,
Observations médicales faites sous les tropiques.,1898,,,,,,
Notes d'Histoire naturelle sur le Fouta-Djallon.,1898,Fouta-Djallon,,,,,
Agglutination et séro-diagnostic dans la fièvre typhoïde.,1898,,,,fièvre typhoïde,,
Rapport sur l'épidémie de fièvre jaune qui a régné au Soudan français en 1897(1),1898,Soudan français,,,fièvre jaune,,
Note sur les ophidiens de Madagascar.,1898,Madagascar,,,,,
"Note sur un nouvel testament ""aiguille-hépatotomie"" pour l'ouverture des abcès profonds du foie.",1898,,,,abcès profonds du foie,,
Morbidité et mortalité à Madagascar pendant l'année 1897. Statistique médicale. Extrait du rapport.,1898,Madagascar,,,,,
Sur le mode de formation de l'indigo dans les procédés d'extraction industrielle. Fonctions diastasiques des plantes indigofères.,1898,,,,,,
Sur l'extension de la peste à bubons.,1898,,,,peste à bubons,,
Notes d'hygiène et de médecine sur l'État du Congo. ,1898,Congo,,,,,
Rôle du pneumocoque dans la pathologie des indigènes du Sénégal et dans la pathogénie de la maladie du sommeil.,1899,Sénégal,,,maladie du sommeil,,
Brancard-palanquin Franck-Fontaine pour le transport des malades et des blessés aux colonies.,1899,,,,,,
Morbidité et mortalité. À la Guyane française pendant l'année 1897. ,1899,Guyane française,,,,,
Analyse bactériologique et chimique de l'eau d'alimentation de la ville de Hanoi (Tonkin).,1899,"Hanoi,Tonkin",,,,,
La propagation de la peste.,1899,,,,peste,,
Rapport sur les opérations de vaccination pratiquées dans l'Ogooué (Congo français) en 1896-1897.,1899,Congo français,Ogooué,,,,
"Épidémie d'ophtalmie purulente observée dans les établissements français de l'Inde, attribuée à un petit diptère du groupe des simulies ou moucherons.",1899,Inde,,,ophtalmie purulente,,
La peste à Tamatave,1899,Tamatave,,,peste,,
Kérato-conjonctivite produite par un serpent cracheur.,1899,,,,,,serpent cracheur
Clinique d'Outre-Mer. Abcès du foie traités à l'hôpital de Saigon pendant l'année 1897.,1899,Saigon,,,Abcès du foie,,
Variétés. Quatre mois de séjour dans le Haut-Dahomey.,1899,Haut-Dahomey,,,,,
Contribution à la géographie médicale des îles Saint-Pierre et Miquelon.,1899,"îles Saint-Pierre,Miquelon",,,,géographie médicale,
Résultats d'expériences faites à l'Institut Pasteur de Nha-Trang (Annam) sur le traitement de la peste bovine.,1899,Annam,,Institut Pasteur de Nha,peste bovine,,
Morbidité et mortalité en Annam-Tonkin pendant l'année 1897. Extrait du rapport annuel,1899,"Annam,Tonkin",,,,,
Notes sur la fabrication du rhum à la Guadeloupe.,1899,Guadeloupe,,,,,
Contribution à la géographie médicale. Observation d'un cas de fièvre bilieuse hémoglobinurique aux Nouvelles-Hébrides.,1899,,,,fièvre bilieuse,géographie médicale,
Des maladies provoquées ou simulées chez les condamnés aux travaux forcés.,1899,,,,Des maladies,,
"Rapport sur un travail de M. le Docteur Ronald Ross, intitulé : ""Note pour l'histoire du parasite du paludisme en dehors de l'organisme humain"", présenté à l'académie de médecine dans la séance du 31 janvier 1899",1899,,,,paludisme,,
Rapport médical sommaire sur l'épidémie de peste bubonique observée à Mongtzé (Chine) pendant les mois de juillet-août 1898.,1899,"Mongtzé,Chine",,,peste bubonique,,
Rapport médical sommaire sur l'épidémie de peste bubonique observée à Mongtzé (Chine) pendant les mois de juillet-août 1898. ,1899,"Mongtzé,Chine",,,peste bubonique,,
Clinique d'Outre-Mer. Rupture du diaphragme.,1899,,,,,,
Clinique d'Outre-Mer.Sur un cas d'arrêt de développement (exomphalie).,1899,,,,,,
Mesures prises à Tamatave. Pour localiser l'épidémie de peste et pour l'enrayer,1899,Tamatave,,,peste,,
Relation d'une recrudescence endémo-épidémique de fièvre jaune observée à la Martinique dans le cours des années 1895. 1896. 1897 et 1898.,1899,Martinique,,,fièvre jaune,,
Morbidité et mortalité au Congo français pendant l'année 1897. Extrait du rapport,1899,Congo français,,,,,
Notes médicales sur le Haut-Oubangui.,1899,Haut-Oubangui,,,,,
Sanatoria et camps de dissémination de nos colonies,1899,,,,,,
Sur la constitution chimique des ferments solubles oxydants.,1899,,,,,,
L'épidémie de peste à Nha-Trang de juin à octobre 1898.,1899,,,,peste,,
"Peste bubonique observée à Ping-Shiang (province de Kouang-Si (Chine), avril-mai-juin 1898). Extrait du rapport",1899,"Ping-Shiang,Chine",,,Peste bubonique,,
Rapport sur la sérothérapie de la peste bubonique.,1899,,,,peste bubonique,,
Note sur une araignée de Madagascar (Mena-vody des indigènes).,1899,Madagascar,,,,indigènes,
Diagnostic bactériologique de la fièvre typhoïde dans les pays chauds.,1899,,,,fièvre typhoïde,,
Morsures de serpents traitées par le sérum antivenimeux du Dr Calmette,1899,,,,Morsures,,
Clinique d'Outre-Mer. Trois cas de calculs vésicaux chez des enfants malgaches opérés par la taille hypogastrique.,1899,,,,calculs vésicaux,,
Instructions pour l'emploi du sérum antivénimeux,1899,,,,,,
Instructions pour la récolte du venin des serpents destiné à vacciner les animaux qui fournissent le sérum antivenimeux,1899,,,,,,
"Fonctionnement de l'Institut Pasteur de Saïgon et des services vaccinaux de l'Indo-Chine, pendant l'année 1898.",1899,Indo-Chine,,Institut Pasteur de Saïgon,vaccinaux,,
Notes d'ethnologie et de médecine sur les Sakalaves du Nord-Ouest.,1899,,,,,,
"Instructions adressées à nos colonies de la côte occidentale d'Afrique, au sujet des mesures à prendre en cas de peste",1899,Afrique,,,peste,,
Note sur l'immunité vaccinale due à la variole et les causes fréquentes d'insuccès de la vaccination au Tonkin.,1899,Tonkin,,,variole,,
Rapport sur la lymphangite infectieuse de la Réunion.,1899,Réunion,,,lymphangite infectieuse,,
Hygiène professionnelle. Accidents provoqués par la manipulation de la laque au Tonkin.,1899,Tonkin,,,,,
Hygiène professionnelle. Vanillisme.,1899,,,,,,
Variole et vaccination à la Côte d'Ivoire. juillet à décembre 1897. année 1898 et janvier 1899.,1899,Côte d'Ivoire,,,Variole,,
Quelques mots sur le lait.,1899,,,,,,
Deux cas de Sphacèle étendu observés sur des noirs du Sénégal.,1899,Sénégal,,,,,
Note sur l'huile de Camellia Drupifera.,1899,,,,,,Camellia
Variétés. Médecins et médecine au Bengale.,1899,Bengale,,,,,
"Clinique d'Outre-Mer. Expulsion d'un foetus mort et momifié, à la suite de l'accouchement d'un enfant vivant et presque à terme.",1899,,,,,,
Contribution à la géographie médicale. Notes médicales sur l'expédition du Fouta-Djallon et sur le poste de Timbo (mars à décembre 1896).,1900,"Fouta-Djallon,Timbo",,,,géographie médicale,
Notes sur la pharmacopée des Sakalaves du Nord-Ouest.,1900,,,,,,
"Note sur l'emploi de l'Ahouandémé (Cassia Occidentalis L.), et des injections hypodermiques massives de sérum artificiel dans le traitement de la fièvre bilieuse hémoglobinurique.",1900,,,,fièvre bilieuse,,
Notes sur des abcès du foie observés au Tonkin.,1900,Tonkin,,,abcès du foie,,
Du fond de l'oeil normal dans la race noire et de l'examen à l'ophtalmoscope (image renversée).,1900,,,,fond,race,
Fonctionnement du laboratoire de microbiologie de Saint-Louis (Sénégal) et note sur la dysenterie des pays chauds.,1900,Sénégal,,laboratoire de microbiologie de Saint-Louis,dysenterie,,
Clinique d'Outre-Mer. Note sur un cas de calculs multiples de l'urètre chez l'homme.,1900,,,,calculs,,
Éléphantasis du scrotum pesant 80 kilos. Extrait du rapport,1900,,,,,,
Instructions sommaires pour aider à la récolte des produits de nos colonies,1900,,,,,,
Géographie médicale. Notes sur le Yun-Nan (Chine).,1900,"Yun-Nan,Chine",,,,Géographie médicale,
"Géographie médicale. Notes médicales recueillies à Tchen-Tou, capitale de la province du Setchouen (Chine).",1900,"Tchen-Tou,Setchouen,Chine",,,,Géographie médicale,
Épidémie de béribéri observée à Poulo-Condore en 1897-1898.,1900,,,,béribéri,,
