,Administration,NAME,Type,titre
0,,,,var geographie = [Aachen (Allemagne)
1,République du Congo,Abala,Subdivision ,AbalaSubdivision (République du Congo)
2,Bénin,Abananquem ,,Abananquem (Bénin)
3,Algérie,Abbaziz ,,Abbaziz (Algérie)
4,Somme ; France,Abbeville ,,Abbeville (Somme ; France)
5,Djibouti/Éthiopie,Abbé,Lac ,AbbéLac (Djibouti/Éthiopie)
6,Algérie,Abbo ,,Abbo (Algérie)
7,Algérie,Abdi ,,Abdi (Algérie)
8,Algérie,Abd El Beg ,,Abd El Beg (Algérie)
9,Tchad,Abéché,Subdivision ,AbéchéSubdivision (Tchad)
10,Tchad,Abéché ,,Abéché (Tchad)
11,Côte d\'Ivoire,Abengourou ,,Abengourou (Côte d\Ivoire)
12,Nigeria,Abeokuta ,,Abeokuta (Nigeria)
13,Djibouti,Abhe Bad ,,Abhe Bad (Djibouti)
14,Côte d\'Ivoire,Abidjan/Agboville,Voie ferrée ,Abidjan/AgbovilleVoie ferrée (Côte d\Ivoire)
15,Côte d\'Ivoire/Burkina Faso,Abidjan/Bobo Dioulasso,Voie ferrée ,Abidjan/Bobo DioulassoVoie ferrée (Côte d\Ivoire/Burkina Faso)
16,Côte d\'Ivoire,Abidjan/Bouaké,Voie ferrée ,Abidjan/BouakéVoie ferrée (Côte d\Ivoire)
17,Côte d\'Ivoire,Abidjan/Gagnoa,Route ,Abidjan/GagnoaRoute (Côte d\Ivoire)
18,Côte d\'Ivoire/Burkina Faso,Abidjan/Niger,Voie ferrée ,Abidjan/NigerVoie ferrée (Côte d\Ivoire/Burkina Faso)
19,Côte d\'Ivoire/Burkina Faso,Abidjan/Ouagadougou,Voie ferrée ,Abidjan/OuagadougouVoie ferrée (Côte d\Ivoire/Burkina Faso)
20,Côte d\'Ivoire,Abidjan/Port-Bouët,Voie ferrée ,Abidjan/Port-BouëtVoie ferrée (Côte d\Ivoire)
21,Côte d\'Ivoire,Abidjan ,,Abidjan (Côte d\Ivoire)
22,Algérie,Abid ,,Abid (Algérie)
23,Inde,Abishegapakkam ,,Abishegapakkam (Inde)
24,Algérie,Abi Youcef ,,Abi Youcef (Algérie)
25,Liban,Ablah ,,Ablah (Liban)
26,Côte d\'Ivoire,Abobo ,,Abobo (Côte d\Ivoire)
27,Côte d\'Ivoire,Aboisso Comoé ,,Aboisso Comoé (Côte d\Ivoire)
28,Côte d\'Ivoire,Aboisso,Cercle ,AboissoCercle (Côte d\Ivoire)
29,Côte d\'Ivoire,Aboisso ,,Aboisso (Côte d\Ivoire)
30,Bénin,Abomey-Calavi ,,Abomey-Calavi (Bénin)
31,Bénin,Abomey/Zagnanado,Voie ferrée ,Abomey/ZagnanadoVoie ferrée (Bénin)
32,Bénin,Abomey ,,Abomey (Bénin)
33,Bénin,Abomey,Cercle ,AbomeyCercle (Bénin)
34,Cameroun,Abong-M’Bang,Circonscription ,Abong-M’BangCirconscription (Cameroun)
35,Cameroun,Abong M\'Bang ,,Abong M\Bang (Cameroun)
36,Tchad,Aboudeïa,Subdivision ,AboudeïaSubdivision (Tchad)
37,Algérie,Aboukir ,,Aboukir (Algérie)
38,Algérie,Aboutville ,,Aboutville (Algérie)
39,Algérie,Abou El Hassan ,,Abou El Hassan (Algérie)
40,Côte d\'Ivoire,Abréby ,,Abréby (Côte d\Ivoire)
41,"Saint-Domingue, Île de",Abricots ,,Abricots (Saint-DomingueÎle de)
42,Éthiopie,Abyssinie,Région géographique ,AbyssinieRégion géographique (Éthiopie)
43,Côte d\'Ivoire,Aby ,,Aby (Côte d\Ivoire)
44,Côte d\'Ivoire,Aby,Lagune ,AbyLagune (Côte d\Ivoire)
45,Charente ; France,Abzac ,,Abzac (Charente ; France)
46,,Acadie',,Acadie
47,Mexique,Acapulco ,,Acapulco (Mexique)
48,Guyane française,Acarouany,Cours d\'eau ,AcarouanyCours d\eau (Guyane française)
49,Guyane française,Acarouany ,,Acarouany (Guyane française)
50,Ghana,Accra ,,Accra (Ghana)
51,"Sumatra, Île de",Aceh ,,Aceh (SumatraÎle de)
52,"Sumatra, Île de",Achem ,,Achem (SumatraÎle de)
53,Moselle ; France,Achen ,,Achen (Moselle ; France)
54,Accra ; Ghana,Achimota,Quartier ,AchimotaQuartier (Accra ; Ghana)
55,Allemagne,Achkarren ,,Achkarren (Allemagne)
56,Algérie,Achouba ,,Achouba (Algérie)
57,,Açores,Archipel des',AçoresArchipel des
58,"Saint-Domingue, Île de",Acul-du-Nord ,,Acul-du-Nord (Saint-DomingueÎle de)
59,Djibouti,Adaïli Dora ,,Adaïli Dora (Djibouti)
60,Djibouti,Adaïli ,,Adaïli (Djibouti)
61,Cameroun,Adamaoua,Circonscription ,AdamaouaCirconscription (Cameroun)
62,Éthiopie,Adama ,,Adama (Éthiopie)
63,Niger,Adar,Région géographique ,AdarRégion géographique (Niger)
64,Algérie,Addarat,Cours d\'eau ,AddaratCours d\eau (Algérie)
65,Éthiopie,Addis Abeba/Aouache,Voie ferrée ,Addis Abeba/AouacheVoie ferrée (Éthiopie)
66,Éthiopie,Addis Abeba/Dire Daoua,Voie ferrée ,Addis Abeba/Dire DaouaVoie ferrée (Éthiopie)
67,Éthiopie/Djibouti,Addis Abeba/Djibouti,Voie ferrée ,Addis Abeba/DjiboutiVoie ferrée (Éthiopie/Djibouti)
68,Éthiopie/Érythrée,Addis Abeba/Massaouah,Voie ferrée ,Addis Abeba/MassaouahVoie ferrée (Éthiopie/Érythrée)
69,Éthiopie,Addis Abeba ,,Addis Abeba (Éthiopie)
70,Éthiopie/Djibouti,Addis Harrar/Djibouti,Voie ferrée ,Addis Harrar/DjiboutiVoie ferrée (Éthiopie/Djibouti)
71,Algérie,Adekar Kebouche ,,Adekar Kebouche (Algérie)
72,Moselle ; France,Adelange ,,Adelange (Moselle ; France)
73,Haute-Saône ; France,Adelans-et-le-Val-de-Bithaine ,,Adelans-et-le-Val-de-Bithaine (Haute-Saône ; France)
74,Haute-Saône ; France,Adelans ,,Adelans (Haute-Saône ; France)
75,Algérie,Adelia ,,Adelia (Algérie)
76,Yémen,Aden ,,Aden (Yémen)
77,Niger,Aderbissinat ,,Aderbissinat (Niger)
78,Niger,Ader,Région géographique ,AderRégion géographique (Niger)
79,Côte d\'Ivoire,Adessé ,,Adessé (Côte d\Ivoire)
80,Côte d\'Ivoire,Adfaé ,,Adfaé (Côte d\Ivoire)
81,Côte d\'Ivoire,Adiaké ,,Adiaké (Côte d\Ivoire)
82,Côte d\'Ivoire,Adioé ,,Adioé (Côte d\Ivoire)
