,NAME,IREL_url,latitude,longitude
0,Acores,,,
1,Algérie,,,
2,Allemagne,,,
3,Angleterre,,,
4,Annam,,,
5,Asie,,,
6,Bizerte,,,
7,Bordeaux,,,
8,Brest,,,
9,Bretagne,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bretagne%C3%89tang%20de%20%28Saint-Martin%C3%AEle%29,,
10,Bruxelles,,,
11,Buenos-Ayres,,,
12,Caldwelle-Luc,,,
13,Calédonie,,,
14,Cameroon,,,
15,Cap-Vert,,,
16,Casablanca,,,
17,Cherbourg,,,
18,Chine,,,
19,Ching-Wan-Tao,,,
20,Chitose,,,
21,Châtel-Guyon,,,
22,Cochinchine,,,
23,Congo Français,,,
24,Copenhague,,,
25,Corse,,,
26,Crète,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Cr%C3%A8te%C3%8Ele%20de,,
27,Cuba,,,
28,Côte d'Ivoire,,,
29,Dakar,,,
30,Danaïde,,,
31,Diégo-Suarez,,,
32,Djibouti,,,
33,Fachoda,,,
34,France,,,
35,Gabon,,,
36,Gaulois,,,
37,Gibraltar,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=GibraltarTerritoire%20britannique,,
38,Grèce,,,
39,Haut-Dahomey,,,
40,Havane,,,
41,Hiroshima,,,
42,Inde,,,
43,Indo-Chine,,,
44,Islande,,,
45,Japon,,,
46,Japonais,,,
47,Lisbonne,,,
48,Liège,,,
49,Loango,,,
50,Lorient,,,
51,Madagascar,,,
52,Madrid,,,
53,Manille,,,
54,Maroc,,,
55,Mecque,,,
56,Milan,,,
57,Moncay,,,
58,New-York,,,
59,Nice,,,
60,Nioro,,,
61,Nord,,,
62,Nouvelle-Orléans,,,
63,Paris,,,
64,Peyrelongue,,,
65,Phlégéton,,,
66,Ping S'Hiang,,,
67,Port-Louis,,,
68,Port-Saïd,,,
69,Portsmouth,,,
70,Pékin,,,
71,Rochefort,,,
72,Saint-Brieuc,,,
73,Saint-Mandrier,,,
74,Saint-Pétersbourg,,,
75,Sasebo,,,
76,Saïgon,,,
77,Sidi-Abdallah,,,
78,Smyrne,,,
79,Soudan,,,
80,Soudan Français,,,
81,Sumatra,,,
82,Sénégal,,,
83,Terre,,,
84,Tokyo,,,
85,Tonkin,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Tonkin1er%20territoire%20militaire,,
86,Toulon,,,
87,Zanzibar,,,
88,île de Céram,,,
89,île de Groix,,,
90,île de Porquerolles,,,
91,Extrême-Orient,,,
92,Mer Rouge,,,
93,Méditerranée,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=M%C3%A9diterran%C3%A9eR%C3%A9gion%20g%C3%A9ographique,,
94,Océan Indien,,,
95,Océan Pacifique,,,
96,Yen-Thé,,,
97,casamance,,,
98,cercle de Thiès,,,
99,golfe de Siam,,,
100,mer rouge,,,
101,océan Atlantique,,,
102,océan indien,,,
103,Binh-Thuan,,,
104,Nouméa,,,
105,Ogooué,,,
106,Yang-Tsé,,,
107,Abyssinie,,,
108,Afrique,,,
109,Afrique occidentale française,,,
110,Amérique,,,
111,Androy,,,
112,Anjouan,,,
113,Antilles,,,
114,Antsirane,,,
115,Bahr-el-Ghazal,,,
116,Bambaras,,,
117,Baoulé,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Baoul%C3%A9Cours%20d%5Ceau%20%28C%C3%B4te%20d%5CIvoire/Mali%29,,
118,Barbade,,,
119,Battambang,,,
120,Bengale,,,
121,Bokoro,,,
122,Bras-de-Pontho,,,
123,Bridgetown,,,
124,Cambodge,,,
125,Canton,,,
126,Cayenne,,,
127,Chandernagor,,,
128,Cholon,,,
129,Choquan,,,
130,Conakry,,,
131,Congo,,,
132,Congo français,,,
133,Constantine,,,
134,Croyances,,,
135,Côte-d'Ivoire,,,
136,Dahomey,,,
137,Dori,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=DoriCercle%20%28Burkina%20Faso%29,,
138,Europe,,,
139,Fouta-Djallon,,,
140,Grand-Bassam,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Grand-BassamLagune%20de%20%28C%C3%B4te%20d%5CIvoire%29,,
141,Grande-Comore,,,
142,Guadeloupe,,,
143,Guinée,,,
144,Guinée Française,,,
145,Guyane,,,
146,Guyane française,,,
147,Hanoi,,,
148,Hatien,,,
149,Haut-Laos,,,
150,Haut-Oubangui,,,
151,Haut-Sénégal,,,
152,Hué,,,
153,Janeiro,,,
154,Kampot,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=KampotProvince%20%28Cambodge%29,,
155,Kati,,,
156,Kayes,,,
157,Labé,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lab%C3%A9Cercle%20%28Guin%C3%A9e%29,,
158,Lagos,,,
159,Lao-Kay,,,
160,Laokay,,,
161,Laos,,,
162,Liptako,,,
163,Majunga,,,
164,Malgaches,,,
165,Marquises,,,
166,Martinique,,,
167,Mauritanie,,,
168,Mayotte,,,
169,Mexique,,,
170,Miquelon,,,
171,Mong-Tseu,,,
172,Mongtzeu,,,
173,Mongtzé,,,
174,My-Tho,,,
175,Nhatrang,,,
176,Niger,,,
177,Nouvelle-Galles,,,
178,Océanie,,,
179,Orizaba,,,
180,Oubangui,,,
181,Ouossou,,,
182,Pak-Hoi,,,
183,Perse,,,
184,Philippines,,,
185,Phu-Lang-Thuong,,,
186,Ping-Shiang,,,
187,Pondichéry,,,
188,Port,,,
189,Porto,,,
190,Rio,,,
191,Rufisque,,,
192,Réunion,,,
193,Saigon,,,
194,Saint-Louis,,,
195,Saint-Philippe,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Saint-PhilippeCours%20d%5Ceau%20%28%C3%89tats-Unis%29,,
196,Samoa,,,
197,Setchouen,,,
198,Shanghai,,,
199,Somalis,,,
200,Soudan français,,,
201,Surra,,,
202,Tagant,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=TagantR%C3%A9gion%20g%C3%A9ographique%20%28Mauritanie%29,,
203,Tahiti,,,
204,Tamatave,,,
205,Tampico,,,
206,Tananarive,,,
207,Tchad,,,
208,Chengdu,,,
209,Thaï-Binh,,,
210,Tidjikdja,,,
211,Timbo,,,
212,Togo,,,
213,Tombouctou,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=TombouctouCercle%20%28Mali%29,,
214,Vinh,,,
215,Wallis,,,
216,Yen-Bay,,,
217,Yunnan,,,
218,Zinder,,,
219,delta Tonkinois,,,
220,lac Tchad.,,,
221,île de Saint-Barthélémy,,,
222,île de Saint-Martin,,,
223,île de la Réunion,,,
224,îles Saint-Pierre,,,
225,,httpNone,,
226,,httpNone,,
227,,httpNone,,
228,,httpNone,,
229,,httpNone,,
230,,httpNone,,
231,,httpNone,,
232,,httpNone,,
233,,httpNone,,
234,,httpNone,,
235,,httpNone,,
236,,httpNone,,
237,,httpNone,,
238,,httpNone,,
239,,httpNone,,
240,,httpNone,,
241,,httpNone,,
242,,httpNone,,
243,,httpNone,,
244,,httpNone,,
245,,httpNone,,
246,,httpNone,,
247,,httpNone,,
248,,httpNone,,
249,,httpNone,,
250,,httpNone,,
251,,httpNone,,
252,,httpNone,,
