Unnamed: 0,Administration,NAME,Type,titre,titre_encoded,IREL_url,Coordonnees,latitude,longitude,Administration_bis,Lieu-dit_bis
0,,,,var geographie = [Aachen (Allemagne),var%20geographie%20%3D%20%5BAachen%20%28Allemagne%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=var%20geographie%20%3D%20%5BAachen%20%28Allemagne%29,,,,,
1,République du Congo,Abala,Subdivision ,AbalaSubdivision (République du Congo),AbalaSubdivision%20%28R%C3%A9publique%20du%20Congo%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=AbalaSubdivision%20%28R%C3%A9publique%20du%20Congo%29,,,,,
2,Bénin,Abananquem ,,Abananquem (Bénin),Abananquem%20%28B%C3%A9nin%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abananquem%20%28B%C3%A9nin%29,6.2850 1.8118,6.2850,1.8118,,
3,Algérie,Abbaziz ,,Abbaziz (Algérie),Abbaziz%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abbaziz%20%28Alg%C3%A9rie%29,34.6167 2.8000,34.6167,2.8000,,
4,Somme ; France,Abbeville ,,Abbeville (Somme ; France),Abbeville%20%28Somme%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abbeville%20%28Somme%20%3B%20France%29,50.1 1.8333,50.1,1.8333,,
5,Djibouti/Éthiopie,Abbé,Lac ,AbbéLac (Djibouti/Éthiopie),Abb%C3%A9Lac%20%28Djibouti/%C3%89thiopie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abb%C3%A9Lac%20%28Djibouti/%C3%89thiopie%29,,,,,
6,Algérie,Abbo ,,Abbo (Algérie),Abbo%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abbo%20%28Alg%C3%A9rie%29,36.8558 3.8567,36.8558,3.8567,,
7,Algérie,Abdi ,,Abdi (Algérie),Abdi%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abdi%20%28Alg%C3%A9rie%29,36.2661 7.3967,36.2661,7.3967,,
8,Algérie,Abd El Beg ,,Abd El Beg (Algérie),Abd%20El%20Beg%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abd%20El%20Beg%20%28Alg%C3%A9rie%29,36.1714 5.2356,36.1714,5.2356,,
9,Tchad,Abéché,Subdivision ,AbéchéSubdivision (Tchad),Ab%C3%A9ch%C3%A9Subdivision%20%28Tchad%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Ab%C3%A9ch%C3%A9Subdivision%20%28Tchad%29,,,,,
10,Tchad,Abéché ,,Abéché (Tchad),Ab%C3%A9ch%C3%A9%20%28Tchad%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Ab%C3%A9ch%C3%A9%20%28Tchad%29,13.8300 20.8305,13.8300,20.8305,,
11,Côte d\'Ivoire,Abengourou ,,Abengourou (Côte d\Ivoire),Abengourou%20%28C%C3%B4te%20d%5CIvoire%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abengourou%20%28C%C3%B4te%20d%5CIvoire%29,,,,,
12,Nigeria,Abeokuta ,,Abeokuta (Nigeria),Abeokuta%20%28Nigeria%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abeokuta%20%28Nigeria%29,7.1557 3.3451,7.1557,3.3451,,
13,Djibouti,Abhe Bad ,,Abhe Bad (Djibouti),Abhe%20Bad%20%28Djibouti%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abhe%20Bad%20%28Djibouti%29,11.5385 41.6665,11.5385,41.6665,,
14,Côte d\'Ivoire,Abidjan/Agboville,Voie ferrée ,Abidjan/AgbovilleVoie ferrée (Côte d\Ivoire),Abidjan/AgbovilleVoie%20ferr%C3%A9e%20%28C%C3%B4te%20d%5CIvoire%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abidjan/AgbovilleVoie%20ferr%C3%A9e%20%28C%C3%B4te%20d%5CIvoire%29,,,,,
15,Côte d\'Ivoire/Burkina Faso,Abidjan/Bobo Dioulasso,Voie ferrée ,Abidjan/Bobo DioulassoVoie ferrée (Côte d\Ivoire/Burkina Faso),Abidjan/Bobo%20DioulassoVoie%20ferr%C3%A9e%20%28C%C3%B4te%20d%5CIvoire/Burkina%20Faso%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abidjan/Bobo%20DioulassoVoie%20ferr%C3%A9e%20%28C%C3%B4te%20d%5CIvoire/Burkina%20Faso%29,,,,,
16,Côte d\'Ivoire,Abidjan/Bouaké,Voie ferrée ,Abidjan/BouakéVoie ferrée (Côte d\Ivoire),Abidjan/Bouak%C3%A9Voie%20ferr%C3%A9e%20%28C%C3%B4te%20d%5CIvoire%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abidjan/Bouak%C3%A9Voie%20ferr%C3%A9e%20%28C%C3%B4te%20d%5CIvoire%29,,,,,
17,Côte d\'Ivoire,Abidjan/Gagnoa,Route ,Abidjan/GagnoaRoute (Côte d\Ivoire),Abidjan/GagnoaRoute%20%28C%C3%B4te%20d%5CIvoire%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abidjan/GagnoaRoute%20%28C%C3%B4te%20d%5CIvoire%29,,,,,
18,Côte d\'Ivoire/Burkina Faso,Abidjan/Niger,Voie ferrée ,Abidjan/NigerVoie ferrée (Côte d\Ivoire/Burkina Faso),Abidjan/NigerVoie%20ferr%C3%A9e%20%28C%C3%B4te%20d%5CIvoire/Burkina%20Faso%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abidjan/NigerVoie%20ferr%C3%A9e%20%28C%C3%B4te%20d%5CIvoire/Burkina%20Faso%29,,,,,
19,Côte d\'Ivoire/Burkina Faso,Abidjan/Ouagadougou,Voie ferrée ,Abidjan/OuagadougouVoie ferrée (Côte d\Ivoire/Burkina Faso),Abidjan/OuagadougouVoie%20ferr%C3%A9e%20%28C%C3%B4te%20d%5CIvoire/Burkina%20Faso%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abidjan/OuagadougouVoie%20ferr%C3%A9e%20%28C%C3%B4te%20d%5CIvoire/Burkina%20Faso%29,,,,,
20,Côte d\'Ivoire,Abidjan/Port-Bouët,Voie ferrée ,Abidjan/Port-BouëtVoie ferrée (Côte d\Ivoire),Abidjan/Port-Bou%C3%ABtVoie%20ferr%C3%A9e%20%28C%C3%B4te%20d%5CIvoire%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abidjan/Port-Bou%C3%ABtVoie%20ferr%C3%A9e%20%28C%C3%B4te%20d%5CIvoire%29,,,,,
