,GPH_code,NAME,continent,wikidata,wikidata_alt1,wikidata_alt2,wikidata_alt3,notes,Q_code
0,2,United States of America,America,http://www.wikidata.org/entity/Q30,,,,,Q30
1,3,Alaska,America,http://www.wikidata.org/entity/Q797,,,,,Q797
2,4,Hawaii,America,http://www.wikidata.org/entity/Q782,,,,,Q782
3,5,Virgin Islands,America,http://www.wikidata.org/entity/Q11703,,,,,Q11703
4,6,Puerto Rico,America,http://www.wikidata.org/entity/Q1183,,,,,Q1183
5,7,Texas,America,http://www.wikidata.org/entity/Q1439,,,,,Q1439
6,10,Greenland,America,http://www.wikidata.org/entity/Q223,,,,,Q223
7,11,Faeroe Is.,America,http://www.wikidata.org/entity/Q4628,,,,,Q4628
8,20,Canada (Province of Canada),America,http://www.wikidata.org/entity/Q16,,,,,Q16
9,21,Newfoundland and Labrador (Newfoundland),America,http://www.wikidata.org/entity/Q2003,,,,,Q2003
10,30,Bermuda,America,http://www.wikidata.org/entity/Q23635,,,,,Q23635
11,31,Bahamas,America,http://www.wikidata.org/entity/Q778,,,,,Q778
12,40,Cuba,America,http://www.wikidata.org/entity/Q241,,,,,Q241
13,41,Haiti,America,http://www.wikidata.org/entity/Q790,,,,,Q790
14,42,Dominican Republic (Santo Domingo),America,http://www.wikidata.org/entity/Q786,,,,,Q786
15,50,West Indies Federation,America,http://www.wikidata.org/entity/Q652560,,,,,Q652560
16,51,Jamaica,America,http://www.wikidata.org/entity/Q766,,,,,Q766
17,52,Trinidad and Tobago,America,http://www.wikidata.org/entity/Q754,,,,,Q754
18,53,Barbados,America,http://www.wikidata.org/entity/Q244,,,,,Q244
19,54,Dominica,America,http://www.wikidata.org/entity/Q784,,,,,Q784
20,55,Grenada,America,http://www.wikidata.org/entity/Q769,,,,,Q769
21,56,St. Lucia,America,http://www.wikidata.org/entity/Q760,,,,,Q760
22,57,St. Vincent and the Grenadines,America,http://www.wikidata.org/entity/Q757,,,,,Q757
23,58,Antigua and Barbuda,America,http://www.wikidata.org/entity/Q781,,,,,Q781
24,59,Montserrat,America,http://www.wikidata.org/entity/Q13353,,,,,Q13353
25,60,St. Kitts-Nevis,America,http://www.wikidata.org/entity/Q763,,,,,Q763
26,65,Guadeloupe,America,http://www.wikidata.org/entity/Q17012,,,,,Q17012
27,66,Martinique,America,http://www.wikidata.org/entity/Q17054,,,,,Q17054
28,68,Netherlands Antilles,America,http://www.wikidata.org/entity/Q25227,,,,,Q25227
29,70,Mexico,America,http://www.wikidata.org/entity/Q96,,,,,Q96
30,80,Belize (British Honduras),America,http://www.wikidata.org/entity/Q242,,,,,Q242
31,89,United States of Central America,America,http://www.wikidata.org/entity/Q190025,,,,,Q190025
32,90,Guatemala,America,http://www.wikidata.org/entity/Q774,,,,,Q774
33,91,Honduras,America,http://www.wikidata.org/entity/Q783,,,,,Q783
34,92,El Salvador,America,http://www.wikidata.org/entity/Q792,,,,,Q792
35,93,Nicaragua,America,http://www.wikidata.org/entity/Q811,,,,,Q811
36,94,Costa Rica,America,http://www.wikidata.org/entity/Q800,,,,,Q800
37,95,Panama,America,http://www.wikidata.org/entity/Q804,,,,,Q804
38,96,Panama Canal Zone,America,http://www.wikidata.org/entity/Q498979,,,,,Q498979
39,100,Colombia (Gran Colombia),America,http://www.wikidata.org/entity/Q739,,,,,Q739
40,101,Venezuela,America,http://www.wikidata.org/entity/Q717,,,,,Q717
41,110,Guyana (Br. Guiana),America,http://www.wikidata.org/entity/Q734,,,,,Q734
42,115,Surinam,America,http://www.wikidata.org/entity/Q730,,,,,Q730
43,120,French Guyana,America,http://www.wikidata.org/entity/Q3769,,,,,Q3769
44,130,Ecuador,America,http://www.wikidata.org/entity/Q736,,,,,Q736
45,135,Peru,America,http://www.wikidata.org/entity/Q419,,,,,Q419
46,136,Bolivia-Peru Confederation,America,http://www.wikidata.org/entity/Q899706,,,,,Q899706
47,140,Brazil,America,http://www.wikidata.org/entity/Q155,,,,,Q155
48,145,Bolivia,America,http://www.wikidata.org/entity/Q750,,,,,Q750
49,150,Paraguay,America,http://www.wikidata.org/entity/Q733,,,,,Q733
50,155,Chile,America,http://www.wikidata.org/entity/Q298,,,,,Q298
51,160,Argentina,America,http://www.wikidata.org/entity/Q414,,,,,Q414
52,165,Uruguay,America,http://www.wikidata.org/entity/Q77,,,,,Q77
53,200,United Kingdom,Europe,http://www.wikidata.org/entity/Q145,,,,,Q145
54,205,Ireland,Europe,http://www.wikidata.org/entity/Q27,,,,,Q27
55,210,Netherlands,Europe,http://www.wikidata.org/entity/Q55,,,,,Q55
56,211,Belgium,Europe,http://www.wikidata.org/entity/Q31,,,,,Q31
57,212,Luxemburg,Europe,http://www.wikidata.org/entity/Q32,,,,,Q32
58,220,France,Europe,http://www.wikidata.org/entity/Q142,,http://www.wikidata.org/entity/Q899706,,,Q142
59,221,Monaco,Europe,http://www.wikidata.org/entity/Q235,,,,,Q235
60,223,Liechtenstein,Europe,http://www.wikidata.org/entity/Q347,,,,,Q347
61,225,Switzerland,Europe,http://www.wikidata.org/entity/Q39,,,,,Q39
62,230,Spain,Europe,http://www.wikidata.org/entity/Q29,,,,,Q29
63,231,Gibraltar,Europe,http://www.wikidata.org/entity/Q1410,,,,,Q1410
64,232,Andorra,Europe,http://www.wikidata.org/entity/Q228,,,,,Q228
65,235,Portugal,Europe,http://www.wikidata.org/entity/Q45,,,,,Q45
66,239,Prussia,Europe,http://www.wikidata.org/entity/Q27306,http://www.wikidata.org/entity/Q38872,,,,Q27306
67,240,Hanover,Europe,http://www.wikidata.org/entity/Q1715,,,,,Q1715
68,241,Anhalt Dessau,Europe,http://www.wikidata.org/entity/Q278874,,,,,Q278874
69,242,Anhalt Köthen,Europe,http://www.wikidata.org/entity/Q264970,,,,,Q264970
70,243,Anhalt Bernburg,Europe,http://www.wikidata.org/entity/Q686965,,,,,Q686965
71,244,Brunswick,Europe,http://www.wikidata.org/entity/Q326029,,,,,Q326029
72,245,Bavaria,Europe,http://www.wikidata.org/entity/Q980,,,,,Q980
73,246,Bremen,Europe,http://www.wikidata.org/entity/Q1209,,,,,Q1209
74,247,Frankfurt,Europe,http://www.wikidata.org/entity/Q1794,,,,,Q1794
75,248,Hamburg,Europe,http://www.wikidata.org/entity/Q1055,,,,,Q1055
76,249,Saxony Anhalt (Anhalt),Europe,http://www.wikidata.org/entity/Q16550783,http://www.wikidata.org/entity/Q27916627,http://www.wikidata.org/entity/Q1206,,,Q16550783
77,250,Hohenzollern Hechingen,Europe,http://www.wikidata.org/entity/Q673865,,,,,Q673865
78,251,Hohenzollern Sigmaringen,Europe,http://www.wikidata.org/entity/Q157013,,,,,Q157013
79,252,Lippe,Europe,http://www.wikidata.org/entity/Q14551680,,,,,Q14551680
80,253,Mecklenburg Strelitz,Europe,http://www.wikidata.org/entity/Q161215,,,,,Q161215
81,254,Nassau,Europe,http://www.wikidata.org/entity/Q836680,,,,,Q836680
82,255,Germany,Europe,http://www.wikidata.org/entity/Q183,,,,,Q183
83,256,Saar,Europe,http://www.wikidata.org/entity/Q1201,,,,,Q1201
84,257,Oldenburg,Europe,http://www.wikidata.org/entity/Q693669,,,,,Q693669
85,258,"Reuss, Older Line",Europe,http://www.wikidata.org/entity/Q531783,,,,,Q531783
86,259,"Reuss, Younger Line",Europe,http://www.wikidata.org/entity/Q639100,,,,,Q639100
87,260,German Federal Republic,Europe,http://www.wikidata.org/entity/Q713750,,,,,Q713750
88,261,Saxe Weimar,Europe,http://www.wikidata.org/entity/Q315667,,,,,Q315667
89,262,Saxe Altenburg,Europe,http://www.wikidata.org/entity/Q158151,,,,,Q158151
90,263,Saxe Gotha Altenburg,Europe,http://www.wikidata.org/entity/Q675085,,,,,Q675085
91,264,Saxe Coburg and Gotha,Europe,http://www.wikidata.org/entity/Q3462133,,,,,Q3462133
92,265,German Democratic Republic,Europe,http://www.wikidata.org/entity/Q16957,,,,,Q16957
93,266,Saxe Meiningen,Europe,http://www.wikidata.org/entity/Q157710,,,,,Q157710
94,267,Baden,Europe,http://www.wikidata.org/entity/Q186320,,,,,Q186320
95,268,Schwarzburg Sondershausen,Europe,http://www.wikidata.org/entity/Q630163,,,,,Q630163
96,269,Saxony,Europe,http://www.wikidata.org/entity/Q1202,,,,,Q1202
97,270,Schwarzburg Rudolstadt,Europe,http://www.wikidata.org/entity/Q695316,,,,,Q695316
98,271,Wuerttemberg,Europe,http://www.wikidata.org/entity/Q159631,,,,,Q159631
99,272,Waldeck,Europe,http://www.wikidata.org/entity/Q165763,,,,,Q165763
100,273,Hesse Electoral,Europe,http://www.wikidata.org/entity/Q529605,,,,,Q529605
101,274,Schaumburg Lippe,Europe,http://www.wikidata.org/entity/Q310650,,,,,Q310650
102,275,Hesse Grand Ducal,Europe,http://www.wikidata.org/entity/Q20135,,,,,Q20135
103,276,Lübeck,Europe,http://www.wikidata.org/entity/Q2843,,,,,Q2843
104,280,Mecklenburg Schwerin,Europe,http://www.wikidata.org/entity/Q158445,,,,,Q158445
105,281,Mecklenburg,Europe,http://www.wikidata.org/entity/Q109057,,,,,Q109057
106,282,Mecklenburg Vorpommern,Europe,http://www.wikidata.org/entity/Q1196,,,,,Q1196
107,290,Poland,Europe,http://www.wikidata.org/entity/Q36,,,,,Q36
108,291,Danzig,Europe,http://www.wikidata.org/entity/Q1792,,http://www.wikidata.org/entity/Q899706,,,Q1792
109,300,Austria-Hungary,Europe,http://www.wikidata.org/entity/Q28513,,,,,Q28513
110,305,Austria,Europe,http://www.wikidata.org/entity/Q40,,,,,Q40
111,310,Hungary,Europe,http://www.wikidata.org/entity/Q28,,,,,Q28
112,315,Czechoslovakia,Europe,http://www.wikidata.org/entity/Q33946,,,,,Q33946
113,316,Czech Republic,Europe,http://www.wikidata.org/entity/Q213,,,,,Q213
114,317,Slovakia,Europe,http://www.wikidata.org/entity/Q214,,,,,Q214
115,324,Kingdom of Sardinia,Europe,http://www.wikidata.org/entity/Q2577303,http://www.wikidata.org/entity/Q165154,,,,Q2577303
