Q_code,latitude,longitude
Q30,39.828175,-98.5795
Q797,64,-150
Q782,21.3075,-157.8575
Q11703,18.333333,-64.833333
Q1183,18.25,-66.5
Q1439,31,-100
Q223,72,-40
Q4628,61.969944444444,-6.8444805555556
Q16,56,-109
Q2003,53,-60
Q23635,32.333333,-64.75
Q778,23.7,-76.4
Q241,22,-79.5
Q790,19,-72.8
Q786,18.8,-70.2
Q652560,10.6833,-61.6333
Q766,18.18,-77.4
Q754,10.666666666667,-61.516666666667
Q244,13.17,-59.5525
Q784,15.416667,-61.333333
Q769,12.116667,-61.666667
Q760,13.883333,-61
Q757,13.166666666667,-61.233333333333
Q781,17.116666666667,-61.85
Q13353,16.75,-62.2
Q763,17.33,-62.666667
Q17012,16.25,-61.583333333333
Q17054,14.666666666667,-61
Q25227,15,-66
Q96,23,-102
Q242,17.066666666667,-88.7
Q190025,14.616666666667,-90.516666666667
Q774,15.5,-90.25
Q783,14.633333,-86.816667
Q792,13.668889,-88.866111
Q811,13,-85
Q800,10,-84
Q804,8.616667,-80.366667
Q498979,9.1176694444444,-79.720166666667
Q739,4,-74
Q717,8,-67
Q734,5.733333,-59.316667
Q730,4,-56
Q3769,3.99886,-52.99994
Q736,-1,-78
Q419,-9.4,-76
Q899706,0,0
Q155,-14,-53
Q750,-17.056869611111,-64.991228611111
Q733,-23.5,-58
Q298,-33,-71
Q414,-34,-64
Q77,-32.733333333333,-56.65
Q145,54.6,-2
Q27,53,-8
Q55,52.316666666667,5.55
Q31,50.641111111111,4.6680555555556
Q32,49.77,6.13
Q142,47,2
Q235,43.733333333333,7.4166666666667
Q347,47.145,9.553889
Q39,46.798562,8.231973
Q29,40.2,-3.5
Q1410,36.13775,-5.3453611111111
Q228,42.558333333333,1.5552777777778
Q45,38.7,-9.1833333333333
Q27306,53,14
Q1715,52.374444444444,9.7386111111111
Q278874,51.82138,12.24233
Q264970,51.75,11.966667
Q686965,51.793611,11.7425
Q326029,52.269167,10.521111
Q980,48.7775,11.431111111111
Q1209,53.347266666667,8.5913
Q1794,50.113611111111,8.6797222222222
Q1055,53.55,10
Q16550783,0,0
Q673865,0,0
Q157013,48.083333333333336,9.216666666666667
Q14551680,51.93609,8.877296
Q161215,0,0
Q836680,0,0
Q183,51,10
Q1201,49.37715,6.8783777777778
Q693669,53.14388888888889,8.213888888888889
Q531783,0,0
Q639100,0,0
Q713750,50.733888888889,7.0997222222222
Q315667,0,0
Q158151,50.985,12.433333
Q675085,0,0
Q3462133,0,0
Q16957,52.052,12.389
Q157710,0,0
Q186320,49.01666667,8.4
Q630163,0,0
Q1202,51.026944444444,13.358888888889
Q695316,0,0
Q159631,0,0
Q165763,50.9125,11.782778
Q529605,51.30833333,9.5
Q310650,0,0
Q20135,49.8667,8.65
Q2843,53.869722222222,10.686388888889
Q158445,53.63333333333333,11.416666666666666
Q109057,53.61265,12.4296
Q1196,53.616666666667,12.7
Q36,52,19
Q1792,54.366666666667,18.633333333333
Q28513,48.2,16.35
Q40,48,14
Q28,47,19
Q33946,50.083333333333,14.416666666667
Q213,50,16
Q214,49,20
Q2577303,0,0
Q38,42.5,12.5
Q546,45.65027777777778,13.770277777777778
Q237,41.904,12.453
Q237,41.904,12.453
Q180393,40.83333333,14.25
Q238,43.933333333333,12.466666666667
Q252580,0,0
Q2683,44.801472222222,10.328
Q13373,43.85,10.516666666667
Q1273,43.35,11.016666666667
Q233,35.883333333333,14.5
Q222,41,20
Q236,42.766667,19.216667
Q403,43.95,20.933333333333
Q240592,42,21.43333333
Q224,45.25,15.466667
Q241748,44.81666666667,20.46666666667
Q225,44,18
Q1246,42.55,20.833333333333
Q215,46,15
Q41,38.5,23
Q34374,35.309722222222,24.893333333333
Q229,35,33
Q219,42.75,25.5
Q217,47.25,28.516667
Q218,46,25
Q159,66.41666666666667,94.25
Q191,59,26
Q211,57,25
Q37,55.2,24
Q212,49,32
Q184,53.528333333333,28.046666666667
Q399,40.383333,44.95
Q230,42.016669444444,43.733330555556
Q227,40.3,47.7
Q330756,41.717,44.783
Q33,65,27
Q1148929,43.31666667,45.68333333
Q34,61,15
Q20,65,11
Q35,56,10
Q189,65,-19
Q458,50.116944444444,9.2477777777778
Q25263,38.5,-28
Q26253,32.75,-17
Q1011,15.916666666667,-24.083333333333
Q1039,0.316667,6.6
Q2002279,12.010492,-15.084866
Q5813,28.536,-15.749
Q1232509,1.5833333333333,10.35
Q845368,1.5,10.5
Q205022,3.5,8.7
Q1005,13.5,-15.5
Q210682,14.492626,-5.660918
Q216632,14.459888888888889,-12.206694444444445
Q1271523,12.645833333333,-7.9922222222222
Q1041,14.366667,-14.283333
Q962,8.8333333333333,2.1833333333333
Q1025,21,-11
Q1032,17,10
Q1008,8,-6
Q4394393,0,0
Q965,12.266667,-2.066667
Q1014,6.533333,-9.75
Q1044,8.5,-12.1
Q117,8,-0.5
Q161062,6.272,1.187
Q797214,0,0
Q797527,6.39527778,0.47027778
Q668294,4.0369,9.6858
Q1028848,3.866419,11.520563
Q1028835,4.166667,9.233333
Q1033,9,8
Q271894,-4.26666667,15.28333333
Q1000,-0.68333055555556,11.5
Q929,6.7,20.9
Q657,15.466667,19.4
Q265319,-1,16
Q974,-2.88,23.656
Q1036,1.28,32.39
Q876185,-4.05,39.666666666666664
Q153963,-6.8324,39.2672
Q1774,-6.1333333333333,39.316666666667
Q590743,0,0
Q967,-3.666667,29.816667
Q1037,-1.9402777777778,29.873888888889
Q1045,6,47
Q34754,9.8,46.2
Q977,11.8,42.433333
Q115,9,40
Q986,15.483333,38.25
Q916,-12.35,17.35
Q1029,-19,35
Q654342,-17.863889,31.029722
Q953,-14,28
Q954,-19,30
Q1020,-13,34
Q258,-29,24
Q370736,-33,18
Q1301901,0,0
Q190959,-25,30
Q1142179,-29.1,26.216666666667
Q639691,0,0
Q466551,-31,29
Q158236,-25.8,25.55
Q848668,0,0
Q379042,-32.849444,27.438056
Q2340665,-29.51666667,27.8
Q963,-22.2,23.7
Q1050,-26.483333,31.433333
Q1019,-20,47
Q970,-12.23333,44.44553
Q17070,-21.114444444444,55.5325
Q1027,-20.2,57.5
Q1042,-7.1,52.766667
Q1028,32,-6
Q126148,35.776666666666664,-5.803888888888888
Q457242,35,-4.5
Q763141,29.366666666667,-10.183333333333
Q40362,25,-13
Q1191986,0,0
Q262,28,1
Q948,34,10
Q7252591,0,0
Q541455,15.633055555556,32.533055555556
Q958,7,30
Q794,32,53
Q43,39,36
Q796,33,43
Q79,27,29
Q858,35.216667,38.583333
Q822,33.833333,35.766667
Q1121819,31.01666667,36.61666667
Q219060,32,35.25
Q801,31,35
Q851,23.716667,44.116667
Q956357,21.4225,39.82611111
Q779855,19,43
Q4702167,25.383333333333,49.6
Q5362837,27.516667,41.683333
Q1998401,15.354722222222,44.206666666667
Q199841,12.8,45.033333333333
Q199841,12.8,45.033333333333
Q131694,12.8,45.033333333333
Q1865132,0,0
Q817,29.166667,47.6
Q398,26.0675,50.551111
Q846,25.269535,51.212767
Q1852345,23.783333333333,54
Q842,21,57
Q889,34,66
Q874,39,60
Q863,38.583333,71.366667
Q813,41,75
Q265,41,66
Q232,48,68
Q148,35.844722222222224,103.45194444444445
Q30623,43.883333333333,125.31666666667
Q711,47,104
Q865,24,121
Q8646,22.278333333333,114.15861111111
Q14773,22.166666666667,113.55
Q28179,37.533333333333,126.98333333333
Q423,40,127
Q884,36,128
Q61292,51.83333333,107.6
Q17,35,136
Q10905515,26.332807,127.749023
Q668,22.8,83
Q646374,0,0
Q323904,0,0
Q917,27.45,90.5
Q3960459,27.55,88.5
Q843,30,71
Q902,24.016667,89.866667
Q836,22,96
Q854,7,81
