,ensemble,latitude,longitude,AHMC,AMN
Abyssinie,1,11.462,38.665,1.0,
Acores,1,38.5,-28.0,,1.0
Afrique,2,7.1881,21.09375,2.0,
Afrique occidentale française,5,14.492626,-5.660918,5.0,
Algérie,2,28.0,1.0,,2.0
Allemagne,3,51.0,10.0,,3.0
Amérique,1,,,1.0,
Androy,1,-21.05,46.6833,1.0,
Angleterre,1,52.457,-1.135,,1.0
Anjouan,2,-12.215,44.425,2.0,
Annam,9,16.4255,107.1387,8.0,1.0
Annamite,2,16.4255,107.1387,2.0,
Annamites,2,16.4255,107.1387,2.0,
Antilles,4,18.73333,-69.15,4.0,
Antsirane,1,-12.31732,49.29188,1.0,
Asie,1,,,,1.0
Bahr-el-Ghazal,1,13.640841,16.490069000000002,1.0,
Bambaras,1,13.54,-10.748,1.0,
Baoulé,1,7.1,-4.992,1.0,
Battambang,1,13.1027,103.1982,1.0,
Bengale,1,24.4223,88.4194,1.0,
Binh-Thuan,1,11.0627,108.0561,1.0,
Bizerte,2,37.274444444444,9.873888888888901,,2.0
Bokoro,1,12.381,17.057,1.0,
Bordeaux,1,44.8333,-0.5667,,1.0
Bras-de-Pontho,1,-21.252489999999998,55.45932,1.0,
Brest,11,48.3873,-4.4879,,11.0
Bretagne,1,48.16667,-2.83333,,1.0
Bridgetown,1,13.0947,59.6175,1.0,
Bruxelles,3,50.8467,4.3524,1.0,2.0
Buenos-Ayres,1,34.6115,58.3934,,1.0
Caldwelle-Luc,1,,,,1.0
Calédonie,14,-21.3933,165.6076,12.0,2.0
Cambodge,9,12.9403,104.5459,9.0,
Cameroon,2,5.745,12.74,,2.0
Canton,2,23.1167,113.25,2.0,
Cap-Vert,1,15.916666666666998,-24.083333333333,,1.0
Casablanca,1,33.5739,7.6013,,1.0
Cayenne,1,4.9316,-52.3155,1.0,
Chandernagor,1,22.8559,88.38,1.0,
Cherbourg,2,49.6425,1.6253,,2.0
Chine,9,40.714,105.4688,4.0,5.0
Ching-Wan-Tao,1,39.8718,119.59899999999999,,1.0
Chitose,1,43.0,141.583333,,1.0
Cholon,1,10.75,106.65,1.0,
Choquan,1,10.82302,106.62965,1.0,
Châtel-Guyon,1,45.923,3.071,,1.0
Cochinchine,13,10.747,106.875,10.0,3.0
Conakry,3,9.6001,-13.6134,3.0,
Congo,8,-2.48,23.51,8.0,
Congo Français,1,0.51,14.5,,1.0
Congo français,2,-0.51,14.5,2.0,
Constantine,1,36.365,6.6147,1.0,
Copenhague,2,55.675940000000004,12.56553,,2.0
Corse,2,42.15,9.0833,1.0,1.0
Croyances,1,,,1.0,
Crète,1,35.309722222222,24.893333333333,,1.0
Cuba,3,22.0,-79.5,1.0,2.0
Côte d'Ivoire,8,7.537,5.353,6.0,2.0
Côte-d'Ivoire,1,7.537,-5.353,1.0,
Dahomey,5,9.6295,2.3375,5.0,
Dakar,5,14.7522,17.4155,1.0,4.0
Danaïde,1,,,,1.0
Diégo-Suarez,2,-12.266666666667,49.283333333333,1.0,1.0
Djibouti,6,11.5231,42.2754,4.0,2.0
Dori,1,14.05,-0.05,1.0,
Europe,1,48.69096,9.14062,1.0,
Extrême-Orient,2,,,,2.0
