GPH_code,NAME,Q_code,latitude,longitude
40,Cuba,Q241,22.0,-79.5
53,Barbados,Q244,13.17,-59.5525
65,Guadeloupe,Q17012,16.25,-61.583333333332995
66,Martinique,Q17054,14.666666666666998,-61.0
70,Mexico,Q96,23.0,-102.0
220,France,Q142,47.0,2.0
231,Gibraltar,Q1410,36.13775,-5.3453611111110995
255,Germany,Q183,51.0,10.0
350,Greece,Q41,38.5,23.0
351,Crete,Q34374,35.309722222222,24.893333333333
395,Iceland,Q189,65.0,-19.0
402,Cape Verde,Q1011,15.916666666666998,-24.083333333333
430,French West Africa,Q210682,14.492626000000001,-5.660918
433,Senegal,Q1041,14.366667000000001,-14.283332999999999
435,Mauritania,Q1025,21.0,-11.0
436,Niger,Q1032,17.0,10.0
481,Gabon,Q1000,-0.68333055555556,11.5
483,Chad,Q657,15.466667000000001,19.4
511,Zanzibar,Q1774,-6.1333333333333,39.316666666667
585,Reunion,Q17070,-21.114444444444,55.5325
600,Morocco,Q1028,32.0,-6.0
615,Algeria,Q262,28.0,1.0
740,Japan,Q17,35.0,136.0
750,India,Q668,22.8,83.0
812,Laos,Q819,18.2,104.0
840,Philippines,Q928,12.0,123.0
9900,Samoa,Q683,-14.0,-172.0
3253,Milan,Q490,45.466944444443996,9.19
4353,Tagant,Q843903,18.7,-10.2
4362,Zinder,Q204365,13.8,8.9833333333333
4781,Lagos,Q8673,6.45,3.4
4842,Loango,Q1479630,-4.7106,11.8378
5802,Diego Suarez,Q218928,-12.266666666667,49.283333333333
5812,Mayotte,Q17063,-12.843055555555999,45.138333333332994
5813,Anjouan,Q231324,-12.215,44.425
6161,Bizerte,Q189546,37.274444444444,9.873888888888901
7109,Yunnan,Q43194,24.5,101.5
8152,Annam,Q10828323,0.0,0.0
8153,Tonkin,Q1858,21.0245,105.84116999999999
9606,Tahiti,Q42000,-17.666666666667,-149.46666666667
