,Q_code,latitude,longitude
0,Q30,,
1,Q797,,
2,Q782,,
3,Q11703,,
4,Q1183,,
5,Q1439,,
6,Q223,,
7,Q4628,,
8,Q16,,
9,Q2003,,
10,Q23635,,
11,Q778,,
12,Q241,,
13,Q790,,
14,Q786,,
15,Q652560,,
16,Q766,,
17,Q754,,
18,Q244,,
19,Q784,,
20,Q769,,
21,Q760,,
22,Q757,,
23,Q781,,
24,Q13353,,
25,Q763,,
26,Q17012,,
27,Q17054,,
28,Q25227,,
29,Q96,,
30,Q242,,
31,Q190025,,
32,Q774,,
33,Q783,,
34,Q792,,
35,Q811,,
36,Q800,,
37,Q804,,
38,Q498979,,
39,Q739,,
40,Q717,,
41,Q734,,
42,Q730,,
43,Q3769,,
44,Q736,,
45,Q419,,
46,Q899706,,
47,Q155,,
48,Q750,,
49,Q733,,
50,Q298,,
51,Q414,,
52,Q77,,
53,Q145,,
54,Q27,,
55,Q55,,
56,Q31,,
57,Q32,,
58,Q142,,
59,Q235,,
60,Q347,,
61,Q39,,
62,Q29,,
63,Q1410,,
64,Q228,,
65,Q45,,
66,Q27306,,
67,Q1715,,
68,Q278874,,
69,Q264970,,
70,Q686965,,
71,Q326029,,
72,Q980,,
73,Q1209,,
74,Q1794,,
75,Q1055,,
76,Q16550783,,
77,Q673865,,
78,Q157013,,
79,Q14551680,,
80,Q161215,,
81,Q836680,,
82,Q183,,
83,Q1201,,
84,Q693669,,
85,Q531783,,
86,Q639100,,
87,Q713750,,
88,Q315667,,
89,Q158151,,
90,Q675085,,
91,Q3462133,,
92,Q16957,,
93,Q157710,,
94,Q186320,,
95,Q630163,,
96,Q1202,,
97,Q695316,,
98,Q159631,,
99,Q165763,,
100,Q529605,,
101,Q310650,,
102,Q20135,,
103,Q2843,,
104,Q158445,,
105,Q109057,,
106,Q1196,,
107,Q36,,
108,Q1792,,
109,Q28513,,
110,Q40,,
111,Q28,,
112,Q33946,,
113,Q213,,
114,Q214,,
115,Q2577303,,
116,Q38,,
117,Q546,,
118,Q237,,
119,Q237,,
120,Q180393,,
121,Q238,,
122,Q252580,,
123,Q2683,,
124,Q13373,,
125,Q1273,,
126,Q233,,
127,Q222,,
128,Q236,,
129,Q403,,
130,Q240592,,
131,Q224,,
132,Q241748,,
133,Q225,,
134,Q1246,,
135,Q215,,
136,Q41,,
137,Q34374,,
138,Q229,,
139,Q219,,
140,Q217,,
141,Q218,,
142,Q159,,
143,Q191,,
144,Q211,,
145,Q37,,
146,Q212,,
147,Q184,,
148,Q399,,
149,Q230,,
150,Q227,,
151,Q330756,,
152,Q33,,
153,Q1148929,,
154,Q34,,
155,Q20,,
156,Q35,,
157,Q189,,
158,Q458,,
159,Q25263,,
160,Q26253,,
161,Q1011,,
162,Q1039,,
163,Q2002279,,
164,Q5813,,
165,Q1232509,,
166,Q845368,,
167,Q205022,,
168,Q1005,,
169,Q210682,,
170,Q216632,,
171,Q1271523,,
172,Q1041,,
173,Q962,,
174,Q1025,,
175,Q1032,,
176,Q1008,,
177,Q4394393,,
178,Q965,,
179,Q1014,,
180,Q1044,,
181,Q117,,
182,Q161062,,
183,Q797214,,
184,Q797527,,
185,Q668294,,
186,Q1028848,,
187,Q1028835,,
188,Q1033,,
189,Q271894,,
190,Q1000,,
191,Q929,,
192,Q657,,
193,Q265319,,
194,Q974,,
195,Q1036,,
196,Q876185,,
197,Q153963,,
198,Q1774,,
199,Q590743,,
200,Q967,,
201,Q1037,,
202,Q1045,,
203,Q34754,,
204,Q977,,
205,Q115,,
206,Q986,,
207,Q916,,
208,Q1029,,
209,Q654342,,
210,Q953,,
211,Q954,,
212,Q1020,,
213,Q258,,
214,Q370736,,
215,Q1301901,,
216,Q190959,,
217,Q1142179,,
218,Q639691,,
219,Q466551,,
220,Q158236,,
221,Q848668,,
222,Q379042,,
223,Q2340665,,
224,Q963,,
225,Q1050,,
226,Q1019,,
227,Q970,,
228,Q17070,,
229,Q1027,,
230,Q1042,,
231,Q1028,,
232,Q126148,,
233,Q457242,,
234,Q763141,,
235,Q40362,,
236,Q1191986,,
237,Q262,,
238,Q948,,
239,Q7252591,,
240,Q541455,,
241,Q958,,
242,Q794,,
243,Q43,,
244,Q796,,
245,Q79,,
246,Q858,,
247,Q822,,
248,Q1121819,,
249,Q219060,,
250,Q801,,
251,Q851,,
252,Q956357,,
253,Q779855,,
254,Q4702167,,
255,Q5362837,,
256,Q1998401,,
257,Q199841,,
258,Q199841,,
259,Q131694,,
260,Q1865132,,
261,Q817,,
262,Q398,,
263,Q846,,
264,Q1852345,,
265,Q842,,
266,Q889,,
267,Q874,,
268,Q863,,
269,Q813,,
270,Q265,,
271,Q232,,
272,Q148,,
273,Q30623,,
274,Q711,,
275,Q865,,
276,Q8646,,
277,Q14773,,
278,Q28179,,
279,Q423,,
280,Q884,,
281,Q61292,,
282,Q17,,
283,Q10905515,,
284,Q668,,
285,Q646374,,
286,Q323904,,
287,Q917,,
288,Q3960459,,
289,Q843,,
290,Q902,,
291,Q836,,
292,Q854,,
293,Q17044696,,
294,Q837,,
295,Q869,,
296,Q185682,,
297,Q424,,
298,Q819,,
299,Q881,,
300,Q172640,,
301,Q180573,,
302,Q833,,
303,Q1400154,,
304,Q179029,,
305,Q170462,,
306,Q376178,,
307,Q334,,
308,Q921,,
309,Q928,,
310,Q188161,,
311,Q941881,,
312,Q142965,,
313,Q408,,
