GPH_code,NAME,start_year,end_year,GPH_status,sovereign_GPH_code
530,Abyssinia,1898,1936,Sovereign,
681,Aden,1838,1962,Colony of,200.0
700,Afghanistan,1879,1919,Protectorate of,200.0
339,Albania,1912,1939,Sovereign,
232,Andorra,1816,1993,Sovereign (unrecognized),
625,Anglo-Egyptian Sudan,1898,1956,Colony of,200.0
1062,Anguilla,1882,1969,Part of,60.0
,Antarctica,,,,
670,Arabia,1902,1927,Sovereign (unrecognized),
160,Argentina,1816,2020,Sovereign,
1069,Aruba,1828,1986,Part of,68.0
4070,Ascension Island,1816,1922,Possession of,200.0
900,Australia,1901,1919,Colony of,200.0
300,Austria - Hungary ,1867,1918,Sovereign,
400,Azores,1831,1976,Part of,235.0
31,Bahamas,1816,1973,Colony of,200.0
9771,Baker Island,1886,1935,Claimed by,200.0
53,Barbados,1885,1958,Colony of,200.0
571,Bechuanaland,1885,1966,Protectorate of,200.0
490,Belgian Congo ,1908,1960,Colony of,211.0
211,Belgium,1830,1940,Sovereign,
30,Bermuda,1816,2020,Colony of,200.0
760,Bhutan,1865,1949,Protectorate of,200.0
145,Bolivia,1839,2020,Sovereign,
1066,Bonaire,1828,2010,Part of,68.0
9993,Bouvet Island,1816,1927,Discovered,
140,Brazil,1822,2020,Sovereign,
775,British Burma,1886,1937,Part of,750.0
501,British East Africa,1895,1920,Protectorate of,200.0
110,British Guyana,1831,1966,Colony of,200.0
80,British Honduras,1884,1981,Colony of,200.0
821,British Malaya,1896,1942,Colony of,200.0
521,British Somaliland,1884,1940,Protectorate of,200.0
5,British Virgin Islands,1816,1917,Colony of,390.0
355,Bulgaria,1908,2020,Sovereign,
402,Cabo Verde,1816,1975,Colony of,235.0
470,Cameroons,1884,1916,Colony of,255.0
410,Canary Island,1821,2020,Part of,230.0
9466,Caroline Islands,1868,1979,Claimed by,200.0
1033,Cayman Islands,1816,1962,Part of,51.0
780,Ceylon,1833,1948,Colony of,200.0
5920,Chagos Islands,1816,1965,Part of,590.0
155,Chile,1818,2020,Sovereign,
710,China,1860,2020,Sovereign,
730,Chosen (Korea),1910,1945,Colony of,740.0
9001,Christmas Island,1889,1942,Part of,827.0
9002,Cocos Islands,1882,1942,Part of,
100,Colombia,1831,2020,Sovereign,
581,Comoros,1912,1946,Part of,580.0
925,Cook Islands,1901,1965,Colony of,920.0
94,Costa Rica,1838,2020,Sovereign,
40,Cuba,1906,2020,Sovereign,
1065,Curacao,1828,2010,Part of,68.0
3521,Cyprus,1878,1974,Part of,352.0
390,Denmark,1816,1940,Sovereign,
54,Dominica,1871,1940,Part of,1063.0
42,Dominican Republic,1865,1916,Sovereign,
20,Dominion of Canada,1841,1920,Colony of,200.0
850,Dutch East Indies,1816,1949,Colony of,210.0
851,Dutch Guiana,1828,1942,Part of,850.0
130,Ecuador,1830,2020,Sovereign,
,Egypt,,,Sovereign,
92,El Salvador,1841,2020,Sovereign,
945,Ellice Island,1892,1916,Protectorate of,200.0
531,Eritrea,1882,1936,Colony of,325.0
1163,Falkland Islands,1833,2020,Colony of,200.0
11,Faroe Islands,1816,1947,Colony of,390.0
950,Fiji,1874,1970,Colony of,200.0
375,Finland,1816,1917,Part of,365.0
713,Formosa (Japan),1895,1945,Colony of,740.0
220,France,1816,1942,Sovereign,
480,French equatorial Africa,1910,1958,Colony of,220.0
120,French Guiana,1817,1947,Colony of,220.0
438,French Guinea,1895,1958,Part of,430.0
810,French Indo China,1887,1941,Colony of,220.0
522,French Somaliland,1884,1977,Colony of,220.0
960,French Southern Territories,1903,2020,Colony of,220.0
432,French Sudan,1895,1958,Part of,220.0
510,German East Africa,1891,1916,Colony of,255.0
,German New Guinea,1884,1914,Colony of,255.0
565,German Samoa Island ,1885,1915,Colony of,255.0
565,German South west Africa,1885,1915,Colony of,255.0
255,Germany,1871,1945,Sovereign,
231,Gibraltar,1816,2020,Colony of,200.0
945,Gilbert Islands,1892,1916,Protectorate of,200.0
5808,Glorioso Islands,1892,2020,Possession of,220.0
452,Gold Coast,1874,1957,Colony of,200.0
350,Greece,1830,1941,Sovereign,
10,Greenland,1816,1953,Colony of,390.0
55,Grenada,1833,1958,Part of,1055.0
65,Guadeloupe,1816,1947,Colony of,220.0
985,Guam,1898,1941,Colony of,2.0
90,Guatemala,1839,2020,Sovereign,
,Guernsey,,,Part of,200.0
41,Haiti,1859,1915,Sovereign,
9005,Heard Island and McDonald Islands,1853,1947,Possession of,200.0
91,Honduras,1838,2020,Sovereign,
720,Hong Kong,1841,1942,Colony of,200.0
,Howland Island,,,Colony of,2.0
395,Iceland,1816,1918,Colony of,390.0
750,India,1816,1947,Colony of,200.0
205,Ireland,1816,1922,Part of,200.0
,Isle of Man,,,,
5200,Italian Somaliland,1905,1936,Colony of,325.0
325,Italy,1861,2020,Sovereign,
51,Jamaica,1816,1958,Colony of,200.0
3387,Jan Mayen,1816,1921,Discovered,
740,Japan,1860,1945,Sovereign,
9772,Jarvis Island,1889,1935,Claimed by,200.0
,Jersey,,,Part of,200.0
5807,Juan De Nova Island,1897,2020,Possession of,220.0
450,Liberia,1847,1920,Sovereign (unrecognized),
223,Liechtenstein,1867,1990,Sovereign (unrecognized),
,Luxembourg,,,Sovereign,
721,Macao,1816,1999,Colony of,235.0
580,Madagascar,1896,1960,Colony of,220.0
401,Madeira,1834,1976,Part of,235.0
781,Maldives,1887,1965,Protectorate of,200.0
338,Malta,1816,1964,Colony of,200.0
565,Marshall Islands,1885,1915,Colony of,255.0
66,Martinique,1816,1947,Colony of,220.0
590,Mauritius,1816,1968,Colony of,200.0
5812,Mayotte,1886,1975,Part of,581.0
70,Mexico,1821,2020,Sovereign,
9730,Midway Islands,1859,2020,Dependency of,2.0
221,Monaco,1861,1940,Sovereign (unrecognized),
341,Montenegro,1878,1915,Sovereign (unrecognized),
600,Morocco,1912,1956,Protectorate of,220.0
565,Nauru,1885,1915,Colony of,255.0
790,Nepal,1816,1923,Protectorate of,200.0
210,Netherlands,1816,1940,Sovereign,
930,New Caledonia,1853,1946,Colony of,220.0
935,New Hebrides Island,1906,1980,Colony of,200.0
920,New Zealand,1840,1920,Colony of,200.0
93,Nicaragua,1912,1925,Occupied by,2.0
93,Nicaragua,1838,2020,Sovereign,
,Nigeria,,,Colony of,200.0
9253,Niue,1904,1974,Colony of,920.0
9004,Norfolk Island,1816,1920,Colony of,200.0
984,Northern Mariana Islands,1898,1919,Part of,912.0
385,Norway,1905,1940,Sovereign,
553,Nyasaland,1891,1953,Protectorate of,200.0
698,Oman,1816,1971,Sovereign (unrecognized),
95,Panama,1903,2020,Sovereign,
150,Paraguay,1816,2020,Sovereign,
986,Pelew,1816,1947,Part of,9810.0
630,Persia,1855,2020,Sovereign,
135,Peru,1839,2020,Sovereign,
840,Philippines,1898,1942,Colony of,2.0
9620,Pitcairn,1839,2020,Colony of,200.0
235,Portugal,1816,2020,Sovereign,
541,Portuguese East Africa ,1816,1975,Colony of,235.0
860,Portuguese Timor,1816,1942,Colony of,235.0
404,Portuguese West Africa,1879,1974,Colony of,235.0
6,Puerto Rico,1898,1952,Colony of,2.0
585,Réunion,1816,1947,Colony of,220.0
,Rhodesia,,,Colony of,200.0
6064,Rio De Oro,1913,1956,Part of,602.0
412,Rio Muni,1816,1960,Part of,411.0
360,Rumania,1878,2020,Sovereign,
365,Russian Federation,1816,2020,Sovereign,
1067,Saba,1828,2010,Part of,1074.0
56,Saint Lucia,1833,1958,Part of,1055.0
57,Saint Vincent and the Grenadines,1833,1958,Part of,1055.0
991,Samoa,1900,2020,Colony of,2.0
331,San Marino,1816,1992,Sovereign (unrecognized),
433,Senegal,1895,1958,Part of,430.0
342,Serbia,1878,1918,Sovereign,
591,Seychelles,1903,1976,Colony of,200.0
800,Siam,1887,2020,Sovereign,
451,Sierra Leone,1816,1961,Colony of,200.0
451,Sierra Leone,1896,1961,Protectorate of,200.0
830,Singapore,1826,1946,Part of,827.0
940,Solomon Islands,1893,1978,Protectorate of,200.0
560,South Africa ,1910,1920,Colony of,200.0
9984,South Georgia and South Sandwich Islands,1908,1985,Part of,1163.0
230,Spain,1816,2020,Sovereign,
6021,Spanish  Morocco,1912,1956,Part of,602.0
60,St. Christopher Islands,1882,1956,Part of,1063.0
