,0
2,United States of America
3,Alaska
4,Hawaii
5,Virgin Islands
6,Puerto Rico
7,Texas
10,Greenland
11,Faeroe Is.
20,Canada (Province of Canada)
21,Newfoundland and Labrador (Newfoundland)
30,Bermuda
31,Bahamas
40,Cuba
41,Haiti
42,Dominican Republic (Santo Domingo)
51,Jamaica
52,Trinidad and Tobago
53,Barbados
54,Dominica
55,Grenada
56,St. Lucia
57,St. Vincent and the Grenadines
58,Antigua & Barbuda
59,Montserrat
60,St. Kitts-Nevis
65,Guadeloupe
66,Martinique
68,Netherlands Antilles
70,Mexico
80,Belize (British Honduras)
90,Guatemala
91,Honduras
92,El Salvador
93,Nicaragua
94,Costa Rica
95,Panama
96,Panama Canal Zone
100,Colombia (Gran Colombia)
101,Venezuela
110,Guyana (Br. Guiana)
115,Surinam
120,French Guyana
130,Ecuador
135,Peru
140,Brazil
145,Bolivia
150,Paraguay
155,Chile
160,Argentina
165,Uruguay
200,United Kingdom
205,Ireland
210,Netherlands
211,Belgium
220,France
221,Monaco
223,Liechtenstein
225,Switzerland
230,Spain
231,Gibraltar
232,Andorra
235,Portugal
239,Prussia
244,Brunswick
245,Bavaria
246,Bremen
248,Hamburg
249,Saxony Anhalt (Anhalt)
252,Lippe
253,Mecklenburg Strelitz
255,Germany
256,Saar
257,Oldenburg
258,"Reuss, Older Line"
259,"Reuss, Younger Line"
261,Saxe Weimar
264,Saxe Coburg
266,Saxe Meiningen
267,Baden
268,Schwarzburg Sondershausen
269,Saxony
270,Schwarzburg Rudolstadt
271,Wuerttemberg
272,Waldeck
273,Hesse Electoral
274,Schaumburg Lippe
275,Hesse Grand Ducal
276,Lübeck
280,Mecklenburg Schwerin
290,Poland
291,Danzig
300,Austria-Hungary
305,Austria
310,Hungary
316,Czech Republic
317,Slovakia
325,Italy
326,Trieste
328,Vatican City
331,San Marino
338,Malta
339,Albania
341,Montenegro
342,Serbia
343,"Macedonia, Former Yugoslav Republic of"
344,Croatia
346,Bosnia-Herzegovina
347,Kosovo
349,Slovenia
350,Greece
351,Crete
355,Bulgaria
359,Moldova (Bessarabia) (Moldavian Republic)
360,Romania
365,Russia (USSR)
366,Estonia
367,Latvia
368,Lithuania
369,Ukraine
370,Belarus (Byelorussia)
371,Armenia
372,Georgia
373,Azerbaijan
374,Transcaucasia
375,Finland
380,Sweden
385,Norway
390,Denmark
395,Iceland
400,Azores (Western Isles)
401,Madeira Isles
402,Cape Verde
403,Sao Tome-Principe
404,Guinea-Bissau (Portuguese Guinea)
410,Canary Is.
411,Equatorial Guinea (Spanish Guinea)
412,Rio Muni
413,Fernando Po (Bioko)
420,Gambia
430,French West Africa
432,Mali (French Sudan) (Upper Senegal and Niger)
433,Senegal
434,Benin (Dahomey)
435,Mauritania
436,Niger
437,Ivory Coast
438,Guinea (French Guinea) (Rivieres du Sud)
439,Burkina Faso (Upper Volta)
450,Liberia
451,Sierra Leone
452,Ghana (Gold Coast)
460,German Togoland
470,Kamerun
480,French Equatorial Africa
481,Gabon
482,Central African Republic (Ubangi Shari)
483,Chad
484,Congo (Brazzaville) (French Congo) (Middle Congo)
490,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State)
500,Uganda
501,Kenya (British East Africa Protectorate)
510,Tanzania (Tanganyika) (German East Africa)
511,Zanzibar
515,Ruanda-Urundi
516,Burundi
517,Rwanda
520,Somalia
521,Somaliland Republic (British Somaliland)
522,Djibouti (Afar and Issas) (French Somaliland)
530,Ethiopia (Abyssinia)
531,Eritrea
540,Angola
541,Mozambique
551,Zambia (Northern Rhodesia)
552,Zimbabwe (Rhodesia) (Southern Rhodesia)
553,Malawi (Nyasaland) (British Central Africa Protectorate)
560,South Africa
561,Cape Colony
562,Natal
563,Transvaal
564,Orange Free State (Orange River Colony)
565,Namibia (South West Africa) (German West Africa)
569,Ciskei
570,Lesotho (Basutoland)
571,Botswana (Bechuanaland)
572,Eswatini (Swaziland)
580,Madagascar (Malagasy Republic)
581,Comoros
585,Reunion
590,Mauritius
591,Seychelles
600,Morocco
601,Tangier
602,Spanish Morocco
605,Ifni
609,Sahrawi Arab Democratic Republic (Western Sahara) (Spanish Sahara)
615,Algeria
616,Tunisia
620,"Libya (Tripolitania, Cyrenaica, Fezzan)"
625,North Sudan (Sudan) (Anglo-Egyptian)
630,Iran (Persia)
640,Turkey (Ottoman Empire)
645,Iraq (Mesopotamia)
652,Syria
660,Lebanon
663,Jordan (Transjordan)
665,Palestine
670,Saudi Arabia (Emirate of Nejd)
671,Hejaz Sultanate
673,Al Hasa
674,Jabal Shammar
678,Yemen Arab Republic (North Yemen) (Kingdom of Yemen)
681,Aden
682,Aden Protectorate
690,Kuwait
692,Bahrain
694,Qatar
696,United Arab Emirates (Trucial Oman)
698,Oman (Sultanate of Muscat and Oman)
700,Afghanistan
701,Turkmenistan
702,Tajikistan
703,Kyrgyzstan
704,Uzbekistan
705,Kazakhstan
710,People's Republic of China (China)
712,Mongolia
713,Republic of China (Taiwan) (Formosa)
720,Hong Kong
721,Macao
730,Korea (Chosen)
735,Far Eastern Republic
740,Japan
741,Ryukyu Is.
750,India
751,French India
752,"Portuguese India (incl. Goa, Diu, Daman)"
760,Bhutan
761,Sikkim
770,Pakistan
775,Myanmar (Burma)
780,Sri Lanka (Ceylon)
781,Maldive Islands
790,Nepal
800,Thailand (Siam)
810,French Indochina
811,Cambodia (Kampuchea)
812,Laos
815,Vietnam
821,Federated Malay States
823,Sabah (North Borneo)
824,Sarawak
827,Straits Settlements
830,Singapore
835,Brunei
840,Philippines
850,Indonesia (Dutch East Indies)
851,West Irian (Dutch New Guinea)
860,East Timor (Portuguese Timor)
900,Australia
901,New South Wales
902,Western Australia
903,South Australia
904,Victoria
905,Queensland
906,Tasmania
911,Papua
920,New Zealand
925,Cook Is.
930,New Caledonia and Dependencies
935,Vanuatu (New Hebrides)
940,Solomon Islands (British Solomon Islands Protectorate)
945,Gilbert and Ellice Is.
946,Kiribati
947,Tuvalu
950,Fiji
955,Tonga (Ha'apai)
960,French Polynesia
984,Northern Marianas Is.
985,Guam
986,Republic of Palau
987,Federated States of Micronesia
991,American Samoa
1003,Attu and Kiska
1004,North Carolina
1005,Virginia
1006,Tennessee
1007,Arkansas
1008,Florida
1009,South Carolina (Palmetto Republic)
1010,Georgia (U.S.)
1011,Alabama
1012,Mississippi
1013,Louisiana
1014,California (Great Bear Republic)
1015,Cherokee
1016,Oregon (Oregon Country)
1019,Rupert's Land
1020,San Juan Island
1021,Cape Breton I.
1022,Nova Scotia
1023,New Brunswick
1024,Prince Edward Is.
1025,Quebec (Lower Canada)
1026,Ontario (Upper Canada)
1027,British Columbia
1028,Vancouver
1029,St. Pierre and Miquelon
1031,Mayaguana
1032,Turks and Caicos Is.
1033,Cayman Is.
1035,Manitoba
1036,Alberta
1037,Saskatchewan
1038,Labrador
1040,Guantanamo
1041,North Haiti
1044,Navassa I.
1049,Tobago
1055,Windward Is.
1056,Gros Islet Bay
1058,Barbuda
1061,British Virgin Is.
1062,Anguilla
1063,Leeward Is.
1064,St. Barthelemy
1065,Curacao
1066,Bonaire
1067,Saba
1068,Sint Eustatius
1069,Aruba
1071,Yucatan
1072,Revillagigedo Is
1073,Sint Maarten
1074,Dutch Windward Is.
1075,St.Kitts
1076,Nevis
1077,St. Martin
1081,Mosquito Coast
1082,Bay Is.
1087,Swan Is.
1088,Corn Is.
1094,Cocos I.
1097,Panama Canal Operating Area
1101,Quita Sueno Bank
1102,Roncador Cay
1103,Serrana Bank
1104,Serranilla Bank
1105,San Andres and Providincial Is.
1106,Malpelo I.
1111,Aves I.
1113,Demerara and Essequibo
1114,Berbice
1150,Free Surinam
1151,Easter I.
1152,Juan Fernandez I.
1153,Desventuradas Is. (San Felix and San Ambrosio)
1154,Sala y Gomez
1156,Araucania
1161,Buenos Aires
1162,Cordoba
1163,Falkland Is.
1164,South Georgia
1166,San Juan
1167,Corrientes
1168,Martin Garcia I.
1201,Inini
1301,Galapagos Is.
1352,Chincha Is.
1401,Rio Grande do Sul
1407,Acre
1408,St. Paul's Rocks
1409,Trindade Island
2001,Rockall I.
2002,Lundy
2201,Alsace Lorraine
2221,Roquebrune and Menton
2246,Lauenburg
2247,Schleswig
2248,Holstein
2249,Heligoland
2251,Neuchatel
2292,Cracow
2311,Spain-Gibraltar Neutral Zone
2333,Ile des Faisans
2481,Bergedorf
2482,Schleswig Plebiscite Zone
2551,Allenstein Plebiscite Zone
2552,Marienwerder Plebiscite Zone
2553,Silesia Plebiscite Zone
2554,Brandenburg
2555,Schleswig-Holstein
2556,Rhineland
2557,Ruhr
2601,Berlin (West Berlin)
3051,Klagenfurt Plebiscite Zone
3052,Vorarlberg
3053,Tyrol
3271,Ancona
3291,Sicily
3326,Venezia-Giulia
3327,"S.M.O.M. (Sovereign & Military Order of Jerusalem, Rhodes and Malta)"
3343,Fiume
3346,Zadar (Zara)
3349,Ionian Is.
3351,Corfu
3353,Dodecanese Is. (Aegean Is.)
3354,Janina
3355,Akrotiri and Dhekelia (British Bases in Cyprus)
3356,Castellorizo
3361,Moldavia
3362,Wallachia
3363,Memel
3364,North Ingria
3374,Batum
3375,Daghestan
