GPH_code,NAME,start_year,end_year,GPH_status,sovereign_GPH_code
6,Puerto Rico,1898,1952,Colony of,2.0
10,Greenland,1816,1953,Colony of,390.0
30,Bermuda,1816,2020,Colony of,200.0
31,Bahamas,1816,1973,Colony of,200.0
40,Cuba,1906,2020,Sovereign,40.0
41,Haiti,1859,1915,Sovereign,41.0
51,Jamaica,1816,1958,Colony of,200.0
53,Barbados,1885,1958,Colony of,200.0
54,Dominica,1871,1940,Part of,1063.0
55,Grenada,1833,1958,Part of,1055.0
65,Guadeloupe,1816,1947,Colony of,220.0
66,Martinique,1816,1947,Colony of,220.0
70,Mexico,1821,2020,Sovereign,70.0
90,Guatemala,1839,2020,Sovereign,90.0
91,Honduras,1838,2020,Sovereign,91.0
92,El Salvador,1841,2020,Sovereign,92.0
93,Nicaragua,1912,1925,Occupied by,2.0
93,Nicaragua,1838,2020,Sovereign,93.0
94,Costa Rica,1838,2020,Sovereign,94.0
95,Panama,1903,2020,Sovereign,95.0
101,Venezuela,1830,2020,Sovereign,101.0
130,Ecuador,1830,2020,Sovereign,130.0
135,Peru,1839,2020,Sovereign,135.0
140,Brazil,1822,2020,Sovereign,140.0
145,Bolivia,1839,2020,Sovereign,145.0
150,Paraguay,1816,2020,Sovereign,150.0
155,Chile,1818,2020,Sovereign,155.0
160,Argentina,1816,2020,Sovereign,160.0
165,Uruguay,1828,2020,Sovereign,165.0
200,United Kingdom,1816,2020,Sovereign,200.0
205,Ireland,1816,1922,Part of,200.0
210,Netherlands,1816,1940,Sovereign,210.0
211,Belgium,1830,1940,Sovereign,211.0
220,France,1816,1942,Sovereign,220.0
221,Monaco,1861,1940,Sovereign (unrecognized),221.0
223,Liechtenstein,1867,1990,Sovereign (unrecognized),223.0
225,Switzerland,1816,2020,Sovereign,225.0
230,Spain,1816,2020,Sovereign,230.0
231,Gibraltar,1816,2020,Colony of,200.0
232,Andorra,1816,1993,Sovereign (unrecognized),232.0
235,Portugal,1816,2020,Sovereign,235.0
255,Germany,1871,1945,Sovereign,255.0
325,Italy,1861,2020,Sovereign,325.0
